;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-411.2549100173129;['C', 'H', 'H', 'H', 'H'];[[-0.011032, 0.016621, 0.001828], [-0.712646, 0.879161, -0.195673], [-0.349197, -0.839984, -0.513202], [0.17143, -0.461746, 1.060911], [1.031811, 0.221078, -0.378842]];[0.0145, -0.1403, -0.1126];[[41.11426814493138, -2.4035881242871953, 34.27410842562809], [18.99339540791067, -20.83437784873446, 22.034578167383405], [-15.158914965766318, -22.79475586805686, -27.623186773177437], [-19.648597114084705, 42.69334777644344, -33.59312815559233], [-25.30015147299102, 3.339374064635081, 4.907627149937217]];1;mc_amon00000_001_001;[6, 1, 1, 1, 1];5;C;-25406.62889562165
1;-395.7035534373805;['C', 'H', 'H', 'H', 'H'];[[-0.012436, 0.036116, 0.001667], [-0.854716, 0.862369, -0.065347], [-0.326307, -0.951778, -0.573818], [0.204923, -0.379492, 0.914485], [1.13105, 0.031728, -0.307922]];[0.0356, -0.1848, 0.1685];[[10.527013741150585, -44.7091925754996, -86.19760267818906], [59.063008567479166, -33.85446177079883, 1.0959891787284375], [-0.6068320654398893, 49.81598785778361, 17.771978378989214], [-14.445457428742891, -10.541628985623458, 75.83449075128199], [-54.53773281444697, 39.28929547413827, -8.50485563081057]];1;mc_amon00000_001_002;[6, 1, 1, 1, 1];5;C;-25391.07753904172
2;-414.23827523541564;['C', 'H', 'H', 'H', 'H'];[[0.003105, -0.017961, -0.006874], [-0.630522, 0.855287, -0.053699], [-0.46757, -0.806201, -0.539307], [0.069745, -0.213528, 0.997371], [0.988135, 0.38782, -0.31761]];[-0.0599, 0.0864, 0.0969];[[14.659986687004627, 56.226564927658174, -30.01375813977062], [-14.382706150283228, 8.792348458436665, -5.0719855052859595], [2.955768069056444, -20.13328249618403, -18.584448416438704], [5.33525200880814, -22.84698417049606, 63.07041610789809], [-8.568300614585985, -22.03864671941476, -9.400222860581758]];1;mc_amon00000_001_003;[6, 1, 1, 1, 1];5;C;-25409.612260839753
3;-402.0473691258272;['C', 'H', 'H', 'H', 'H'];[[0.027418, 0.009282, 0.029874], [-0.708985, 0.742716, -0.212398], [-0.467535, -0.758053, -0.512414], [-0.098315, -0.420583, 0.933839], [0.937328, 0.314875, -0.559891]];[-0.2418, -0.1457, -0.1754];[[-3.218626650136542, 26.277027298631353, -110.05913146588125], [-12.13209012759804, 32.14753995743074, 17.183981895148275], [1.3103322630849215, -32.47766898100183, -33.777892119613625], [21.622364238911626, -9.343258388858615, 89.8729791380686], [-7.581978538440913, -16.60363988620165, 36.78006255227801]];1;mc_amon00000_001_004;[6, 1, 1, 1, 1];5;C;-25397.421354730162
4;-419.2207480880578;['C', 'H', 'H', 'H', 'H'];[[0.003022, 0.000456, 0.003648], [-0.704057, 0.824933, -0.09808], [-0.413353, -0.80685, -0.586408], [0.082096, -0.286365, 1.026763], [0.998575, 0.262768, -0.385483]];[-0.0299, -0.0194, 0.0006];[[0.8428733034162178, 9.299545467397891, -22.67496066786353], [4.521451480137671, 6.748923833339937, 2.120249227808238], [1.178195037376491, -10.69336546168869, -2.501503740239637], [1.0639020468670664, -6.8174204147992805, 21.57114269854606], [-7.606421867797446, 1.4623177615711944, 1.4850724817488743]];1;mc_amon00000_001_005;[6, 1, 1, 1, 1];5;C;-25414.594733692393
5;-407.3066240455758;['C', 'H', 'H', 'H', 'H'];[[-0.029022, -0.003497, 0.013024], [-0.514217, 0.836652, -0.214721], [-0.361568, -0.81176, -0.595373], [0.229733, -0.329755, 1.002982], [1.002835, 0.349726, -0.357206]];[0.0859, 0.0558, -0.0645];[[118.6865915069587, -42.53688461766268, -15.256687097371397], [-70.53613200706127, 79.306532103636, 5.355337445796495], [-5.574277958373775, -18.13582266672685, -11.77279464941805], [-20.187727098170466, 5.698350415103707, 20.57678905641196], [-22.38845325753212, -24.33217642017124, 1.0973552445809929]];1;mc_amon00000_001_006;[6, 1, 1, 1, 1];5;C;-25402.680609649913
6;-392.49354478665975;['C', 'H', 'H', 'H', 'H'];[[0.037443, 0.009403, -0.029576], [-0.756181, 0.893553, 0.094449], [-0.443981, -0.939717, -0.360943], [-0.163752, -0.354934, 0.996084], [0.902796, 0.289006, -0.361917]];[-0.0593, -0.1404, 0.226];[[-218.92329564141855, -30.005139592360575, 95.30228217201886], [37.12208773264843, -39.15740489920878, -32.62276130170954], [8.495485272853196, 23.991574225063893, -39.50290690690532], [47.22925204356977, 14.649830129689404, 15.61265041839368], [126.0764694065261, 30.52114013681605, -38.78926438179769]];1;mc_amon00000_001_007;[6, 1, 1, 1, 1];5;C;-25387.867530390995
7;-399.6228684889607;['C', 'H', 'H', 'H', 'H'];[[0.029636, 0.000985, -0.014326], [-0.675895, 0.84692, 0.034738], [-0.513906, -0.933848, -0.414007], [-0.122335, -0.304019, 0.917375], [0.942571, 0.382096, -0.354597]];[-0.0975, 0.0124, 0.2506];[[-92.66359079420793, -4.590570617649611, -60.345966151565605], [-2.694494930723626, -2.4177088813811456, -21.93883734724137], [28.84809130181448, 38.75860379266256, -25.16972182959828], [28.19857086430329, -23.78239064810712, 118.05157721838353], [38.31142474463483, -7.967933645524682, -10.597051889978264]];1;mc_amon00000_001_008;[6, 1, 1, 1, 1];5;C;-25394.996854093297
8;-401.55288274957184;['C', 'H', 'H', 'H', 'H'];[[-0.003022, 0.021717, -0.018026], [-0.7919, 0.77102, -0.028639], [-0.483051, -0.912502, -0.627959], [0.243379, -0.249188, 1.030582], [1.068608, 0.132668, -0.163223]];[0.0868, -0.0091, 0.2016];[[-16.900873047953517, -81.1261579073031, 10.378103076653614], [19.755561730489276, 18.544372408146202, -5.345442954933888], [37.24902276139926, 46.51419720558854, 37.712370479478714], [-37.657536928187035, -11.744815201682766, 2.905767924375018], [-2.4461745157479813, 27.812404681072163, -45.650797339752415]];1;mc_amon00000_001_009;[6, 1, 1, 1, 1];5;C;-25396.92686835391
9;-405.09401484659827;['C', 'H', 'H', 'H', 'H'];[[-0.006553, 0.024377, 0.009012], [-0.839465, 0.821807, -0.181602], [-0.322973, -0.784402, -0.63397], [0.225154, -0.38541, 1.059595], [1.025562, 0.04794, -0.364102]];[0.0457, -0.1961, -0.1451];[[-2.280950511030867, -20.818734497409014, 11.190780632787304], [54.276853368703605, -19.27808614038955, 19.971283924729892], [-16.40769007219151, -21.088055803225593, 4.862024029718704], [-32.59667561019519, 20.163603940498128, -28.030102453186352], [-2.991535989464978, 41.021272500526024, -7.993986134049547]];1;mc_amon00000_001_010;[6, 1, 1, 1, 1];5;C;-25400.468000450936
