;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-214.3814079244907;['O', 'H', 'H'];[[0.007003, 0.404534, 0.0], [-0.705047, -0.287418, 0.0], [0.65291, -0.266197, 0.0]];[-0.0505, -2.365, 0.0];[[-55.71852954321279, -22.508591160009637, 0.0], [-6.091044543229207, 38.122121457624324, 0.0], [61.80957290062095, -15.613530297614682, 0.0]];1;mc_amon00001_001_001;[8, 1, 1];3;O;-47928.59425908078
1;-211.6746268569966;['O', 'H', 'H'];[[0.002354, 0.409242, 0.0], [-0.737042, -0.295432, 0.0], [0.75763, -0.333079, 0.0]];[-0.0152, -2.3607, 0.0];[[18.73085699851476, -114.52522407600095, 0.0], [22.435271844329513, 48.00109348011626, 0.0], [-41.16612884284427, 66.52412941006365, 0.0]];1;mc_amon00001_001_002;[8, 1, 1];3;O;-47925.88747801329
2;-200.91918945762123;['O', 'H', 'H'];[[-0.000914, 0.405754, 0.0], [-0.565607, -0.249322, 0.0], [0.639047, -0.325716, 0.0]];[0.0195, -2.4435, 0.0];[[122.42985859373968, 69.13933560192854, 0.0], [-171.91659967881532, -100.1588407525063, 0.0], [49.48674108507563, 31.019503964756716, 0.0]];1;mc_amon00001_001_003;[8, 1, 1];3;O;-47915.13204061391
3;-207.68828023937405;['O', 'H', 'H'];[[-0.001731, 0.379782, 0.0], [-0.831625, -0.035216, 0.0], [0.921358, -0.123078, 0.0]];[0.0979, -1.7876, 0.0];[[115.98174317262512, 34.3496357401081, 0.0], [-19.716301567080937, -50.38385740089935, 0.0], [-96.26544160554417, 16.034221660791253, 0.0]];1;mc_amon00001_001_004;[8, 1, 1];3;O;-47921.901131395665
4;-216.62622191369906;['O', 'H', 'H'];[[0.007755, 0.393978, 0.0], [-0.829036, -0.206975, 0.0], [0.766298, -0.177015, 0.0]];[-0.0683, -2.1096, 0.0];[[-67.90202145597638, -16.16008470731056, 0.0], [59.146233046411375, 33.10881986458773, 0.0], [8.755788409565016, -16.94873634309822, 0.0]];1;mc_amon00001_001_005;[8, 1, 1];3;O;-47930.83907306999
5;-211.5366704051339;['O', 'H', 'H'];[[0.006718, 0.395551, 0.0], [-0.699044, -0.214451, 0.0], [0.652894, -0.196125, 0.0]];[-0.0583, -2.2311, 0.0];[[-77.79956936525676, 96.89201521986718, 0.0], [-48.55084842083301, -12.920461909617295, 0.0], [126.35041778608978, -83.97155331024989, 0.0]];1;mc_amon00001_001_006;[8, 1, 1];3;O;-47925.749521561425
6;-216.50597992877704;['O', 'H', 'H'];[[0.00707, 0.401454, 0.0], [-0.785369, -0.262505, 0.0], [0.73241, -0.241138, 0.0]];[-0.051, -2.2542, 0.0];[[-47.8788543027336, -55.5495974760643, 0.0], [43.79568465526626, 47.43918980271597, 0.0], [4.083169647467343, 8.110407673348325, 0.0]];1;mc_amon00001_001_007;[8, 1, 1];3;O;-47930.71883108507
7;-211.38915817624098;['O', 'H', 'H'];[[0.001049, 0.382116, 0.0], [-0.743664, -0.072045, 0.0], [0.789286, -0.124272, 0.0]];[0.0404, -1.9104, 0.0];[[103.38637647621077, 120.5239583793932, 0.0], [-115.20098080430017, -92.21658369023282, 0.0], [11.814604328089406, -28.307374689160387, 0.0]];1;mc_amon00001_001_008;[8, 1, 1];3;O;-47925.602009332535
8;-209.51653122580998;['O', 'H', 'H'];[[0.008276, 0.380618, 0.0], [-0.816009, -0.104393, 0.0], [0.747239, -0.06687, 0.0]];[-0.107, -1.8673, 0.0];[[-142.75516939371303, 122.36787454150105, 0.0], [13.584672298327673, -16.638734260252328, 0.0], [129.17049709538537, -105.7291402812487, 0.0]];1;mc_amon00001_001_009;[8, 1, 1];3;O;-47923.7293823821
9;-209.72611399359002;['O', 'H', 'H'];[[0.007926, 0.389477, 0.0], [-0.910413, -0.17142, 0.0], [0.845445, -0.139937, 0.0]];[-0.0739, -1.9672, 0.0];[[-55.08501531826912, -29.258438747949523, 0.0], [97.49975681005438, 32.31587081330557, 0.0], [-42.414740305964216, -3.0574320653560454, 0.0]];1;mc_amon00001_001_010;[8, 1, 1];3;O;-47923.938965149886
10;-212.33581407435273;['O', 'H', 'H'];[[-0.000854, 0.38484, 0.0], [-0.808153, -0.081066, 0.0], [0.883255, -0.158025, 0.0]];[0.0655, -1.9113, 0.0];[[98.43681157892851, 21.055412521290567, 0.0], [-17.933355580211806, -41.790608297188435, 0.0], [-80.50345718453777, 20.73519577589787, 0.0]];1;mc_amon00001_001_011;[8, 1, 1];3;O;-47926.54866523064
11;-204.52444919509594;['O', 'H', 'H'];[[-0.001031, 0.402921, 0.0], [-0.591498, -0.225823, 0.0], [0.667175, -0.30379, 0.0]];[0.0264, -2.3823, 0.0];[[132.00933253626937, 74.72629710228054, 0.0], [-166.54127403335679, -103.48016187743713, 0.0], [34.531941497087416, 28.753864775156572, 0.0]];1;mc_amon00001_001_012;[8, 1, 1];3;O;-47918.737300351386
12;-216.86010536237507;['O', 'H', 'H'];[[0.006801, 0.401999, 0.0], [-0.768828, -0.265337, 0.0], [0.72009, -0.247187, 0.0]];[-0.0486, -2.2744, 0.0];[[-45.26161798522672, -51.65350770113391, 0.0], [33.7855525236132, 44.89377510889984, 0.0], [11.476065461613521, 6.759732592234073, 0.0]];1;mc_amon00001_001_013;[8, 1, 1];3;O;-47931.07295651867
13;-215.97649195257623;['O', 'H', 'H'];[[0.001041, 0.387823, 0.0], [-0.802272, -0.116607, 0.0], [0.846909, -0.169979, 0.0]];[0.0273, -1.9832, 0.0];[[59.96461914509211, 8.696062160610447, 0.0], [-1.2046056438592305, -24.712187006318498, 0.0], [-58.76001350123289, 16.016124845708053, 0.0]];1;mc_amon00001_001_014;[8, 1, 1];3;O;-47930.18934310887
14;-214.52228110313294;['O', 'H', 'H'];[[0.006314, 0.382547, 0.0], [-0.807474, -0.107561, 0.0], [0.76947, -0.094626, 0.0]];[-0.0637, -1.9049, 0.0];[[-68.02896715711668, 86.20488954855708, 0.0], [4.25835099156285, -21.094344212267345, 0.0], [63.77061616555383, -65.11054533628975, 0.0]];1;mc_amon00001_001_015;[8, 1, 1];3;O;-47928.735132259426
15;-219.34423627928442;['O', 'H', 'H'];[[0.004493, 0.395179, 0.0], [-0.766524, -0.19688, 0.0], [0.755431, -0.207131, 0.0]];[-0.0276, -2.1596, 0.0];[[-9.049751076853909, -6.430265256810316, 0.0], [7.848667321520798, 6.7015739987109955, 0.0], [1.201083755333111, -0.2713087419006801, 0.0]];1;mc_amon00001_001_016;[8, 1, 1];3;O;-47933.557087435576
16;-213.38059569971776;['O', 'H', 'H'];[[0.008503, 0.386634, 0.0], [-0.804787, -0.153655, 0.0], [0.731479, -0.113566, 0.0]];[-0.0973, -2.0012, 0.0];[[-128.46088873349856, 84.57524413572153, 0.0], [25.01718373850151, 2.7082279243333875, 0.0], [103.44370499499705, -87.28347324587597, 0.0]];1;mc_amon00001_001_017;[8, 1, 1];3;O;-47927.59344685601
17;-206.4326828528582;['O', 'H', 'H'];[[-0.004177, 0.392578, 0.0], [-0.794908, -0.12188, 0.0], [0.921419, -0.24082, 0.0]];[0.0825, -2.0341, 0.0];[[118.36681470117651, -22.161232156544777, 0.0], [-9.976710951107549, -31.055371494133666, 0.0], [-108.39010375006895, 53.21660246485739, 0.0]];1;mc_amon00001_001_018;[8, 1, 1];3;O;-47920.64553400915
18;-219.35434978672785;['O', 'H', 'H'];[[0.004432, 0.395266, 0.0], [-0.764639, -0.197211, 0.0], [0.754504, -0.208211, 0.0]];[-0.0269, -2.1621, 0.0];[[-7.796543371334227, -6.088406091387248, 0.0], [6.3288597695001725, 6.057888986599474, 0.0], [1.467684787655106, 0.03051710478777417, 0.0]];1;mc_amon00001_001_019;[8, 1, 1];3;O;-47933.56720094302
19;-202.55932584215194;['O', 'H', 'H'];[[-0.002259, 0.373972, 0.0], [-0.775778, 0.013538, 0.0], [0.874997, -0.07992, 0.0]];[0.1382, -1.6881, 0.0];[[209.26407404728278, 121.12599854195969, 0.0], [-154.07699511101936, -113.19375692429617, 0.0], [-55.18707893626344, -7.932240431842458, 0.0]];1;mc_amon00001_001_020;[8, 1, 1];3;O;-47916.77217699844
20;-214.58856919596016;['O', 'H', 'H'];[[4.8e-05, 0.393341, 0.0], [-0.795561, -0.154264, 0.0], [0.855047, -0.220364, 0.0]];[0.0291, -2.0762, 0.0];[[63.98183935472102, -29.651132876075025, 0.0], [11.475748847392488, -8.891743979062706, 0.0], [-75.45758820211351, 38.542876855137735, 0.0]];1;mc_amon00001_001_021;[8, 1, 1];3;O;-47928.801420352254
21;-207.93974656625096;['O', 'H', 'H'];[[-0.002989, 0.409879, 0.0], [-0.654637, -0.268109, 0.0], [0.759976, -0.371761, 0.0]];[0.0171, -2.4024, 0.0];[[95.74051064274184, -75.79070430891602, 0.0], [-51.419506075368, -8.251207321845747, 0.0], [-44.32100456737385, 84.04191163076176, 0.0]];1;mc_amon00001_001_022;[8, 1, 1];3;O;-47922.15259772255
22;-210.9312223443159;['O', 'H', 'H'];[[0.007955, 0.407109, 0.0], [-0.688059, -0.313969, 0.0], [0.620479, -0.280806, 0.0]];[-0.0562, -2.4189, 0.0];[[-71.43866752509521, -23.242589489305605, 0.0], [-10.774504081389434, 48.151680895581556, 0.0], [82.21317160648465, -24.909091406275955, 0.0]];1;mc_amon00001_001_023;[8, 1, 1];3;O;-47925.14407350061
23;-206.98167231750097;['O', 'H', 'H'];[[0.009088, 0.378969, 0.0], [-0.830408, -0.096211, 0.0], [0.749005, -0.048574, 0.0]];[-0.1284, -1.8253, 0.0];[[-173.8657135839594, 130.77686484095906, 0.0], [25.059232953025486, -13.434218880641314, 0.0], [148.80648063093392, -117.34264596031774, 0.0]];1;mc_amon00001_001_024;[8, 1, 1];3;O;-47921.194523473794
24;-201.5814630193797;['O', 'H', 'H'];[[-0.002166, 0.373466, 0.0], [-0.770632, 0.016918, 0.0], [0.868481, -0.075287, 0.0]];[0.1383, -1.6788, 0.0];[[216.62090429993626, 131.3317828465387, 0.0], [-168.83488792740803, -119.57908430649846, 0.0], [-47.78601518670719, -11.752698540040223, 0.0]];1;mc_amon00001_001_025;[8, 1, 1];3;O;-47915.79431417567
25;-218.46772677873966;['O', 'H', 'H'];[[0.006063, 0.397604, 0.0], [-0.779226, -0.225755, 0.0], [0.742855, -0.216667, 0.0]];[-0.0449, -2.1971, 0.0];[[-37.363101118298175, -26.150169348248944, 0.0], [29.59354347665718, 27.91515133199276, 0.0], [7.769557641640992, -1.7649819837438123, 0.0]];1;mc_amon00001_001_026;[8, 1, 1];3;O;-47932.68057793503
26;-213.38409513180528;['O', 'H', 'H'];[[-0.000195, 0.405476, 0.0], [-0.720247, -0.249864, 0.0], [0.781852, -0.318977, 0.0]];[0.0072, -2.3128, 0.0];[[57.58824679978235, -80.76117285971289, 0.0], [-6.352866716709363, 14.568648820430768, 0.0], [-51.23538008307299, 66.19252403928212, 0.0]];1;mc_amon00001_001_027;[8, 1, 1];3;O;-47927.5969462881
27;-206.23760609609528;['O', 'H', 'H'];[[0.000609, 0.379947, 0.0], [-0.729084, -0.052261, 0.0], [0.782078, -0.109692, 0.0]];[0.0545, -1.869, 0.0];[[136.70796821226034, 161.75900239852837, 0.0], [-165.96715165583086, -121.64749418117275, 0.0], [29.25918344357054, -40.11150821735564, 0.0]];1;mc_amon00001_001_028;[8, 1, 1];3;O;-47920.45045725239
28;-209.82567464676396;['O', 'H', 'H'];[[0.00874, 0.400737, 0.0], [-0.701153, -0.268172, 0.0], [0.622136, -0.2249, 0.0]];[-0.0748, -2.3246, 0.0];[[-115.32652723659844, 58.21970006773665, 0.0], [-18.337345839684044, 26.919343873248213, 0.0], [133.6638730762825, -85.13904394098488, 0.0]];1;mc_amon00001_001_029;[8, 1, 1];3;O;-47924.03852580306
29;-213.11002974145924;['O', 'H', 'H'];[[0.009477, 0.401859, 0.0], [-0.825541, -0.28027, 0.0], [0.734273, -0.229243, 0.0]];[-0.0706, -2.2399, 0.0];[[-77.70996042577754, -60.91982883428103, 0.0], [69.13801934056019, 62.00677019837838, 0.0], [8.571941085217361, -1.0869413640973622, 0.0]];1;mc_amon00001_001_030;[8, 1, 1];3;O;-47927.32288089775
30;-217.17974249875306;['O', 'H', 'H'];[[0.001976, 0.387866, 0.0], [-0.798486, -0.122815, 0.0], [0.828337, -0.164452, 0.0]];[0.0127, -1.9926, 0.0];[[43.66455181998934, 14.812118041480366, 0.0], [-0.8585368136995558, -22.33627001629292, 0.0], [-42.80601500628979, 7.524151974812554, 0.0]];1;mc_amon00001_001_031;[8, 1, 1];3;O;-47931.392593655044
