;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-368.16994415528933;['C', 'O', 'H', 'H'];[[0.011086, 0.017717, 0.015207], [1.169869, -0.213636, 0.003814], [-0.701723, -0.827369, -0.067424], [-0.49909, 0.942162, -0.065413]];[-2.1763, 0.5292, -0.0321];[[-43.00431748926822, -53.60394498257266, -21.2685069360787], [51.81345598798816, 9.924828908415702, 7.593606699682371], [-5.8741685451044425, -3.747750676180759, 8.257475571929609], [-2.9349699536154974, 47.42686793615877, 5.417424664466721]];2;mc_amon00003_001_001;[6, 8, 1, 1];4;C=O;-71821.21265182037
1;-363.10307498067954;['C', 'O', 'H', 'H'];[[0.016238, 0.013675, -0.015424], [1.178155, -0.218548, 0.011022], [-0.736329, -0.785096, 0.058704], [-0.663797, 1.030792, 0.060715]];[-2.1094, 0.2854, 0.0008];[[-80.94751515155514, 23.6691376226608, 24.666050266626332], [25.095977989981336, 18.325971444147836, -6.711317890299926], [-0.04645572555530758, -15.56529346883842, -7.688672787645497], [55.89799170130806, -26.429815597970215, -10.266058402859857]];2;mc_amon00003_001_002;[6, 8, 1, 1];4;C=O;-71816.14578264576
2;-369.40959916160557;['C', 'O', 'H', 'H'];[[-0.013714, 0.016056, -0.01565], [1.19297, -0.215022, 0.011075], [-0.75975, -0.845864, 0.059633], [-0.512603, 1.002687, 0.061644]];[-2.3324, 0.5044, 0.014];[[24.372214482190067, -42.633302541625724, 24.9390167863585], [-51.729416849992845, 22.146767511345576, -8.219979910247487], [14.151561167432943, 15.579664434174465, -9.11959712267107], [13.205641200369833, 4.906870596105681, -7.59943975343994]];2;mc_amon00003_001_003;[6, 8, 1, 1];4;C=O;-71822.4523068267
3;-368.41750982053014;['C', 'O', 'H', 'H'];[[-0.011122, -0.009252, -0.020499], [1.178827, -0.199026, 0.012216], [-0.790155, -0.84969, 0.0796], [-0.29766, 1.042425, 0.081611]];[-2.2415, 0.399, 0.0252];[[7.775020719230163, -7.253169333701329, 31.15447411695973], [0.1688217857905982, -18.580705965196806, -10.463849796964631], [16.775668132118383, 21.958826732724468, -11.533028747515614], [-24.719510637139145, 3.8750485661736698, -9.157594386658428]];2;mc_amon00003_001_004;[6, 8, 1, 1];4;C=O;-71821.46021748563
4;-360.4555146177929;['C', 'O', 'H', 'H'];[[0.01249, -0.018372, 0.035925], [1.173209, -0.192611, -0.001061], [-0.940713, -0.782127, -0.152734], [-0.35551, 0.987186, -0.150723]];[-1.9969, 0.4625, -0.0471];[[-95.84256714580982, -2.3986171624348405, -56.25398703949875], [51.22044585273697, -34.951979472864025, 16.110528059702794], [56.33286192681015, 15.75000169927024, 24.415658222271855], [-11.710740633737295, 21.60059612184968, 15.727801943345163]];2;mc_amon00003_001_005;[6, 8, 1, 1];4;C=O;-71813.49822228288
5;-367.2254990985525;['C', 'O', 'H', 'H'];[[0.011046, 0.004617, -0.018304], [1.159383, -0.208667, 0.011699], [-0.629775, -0.82884, 0.070563], [-0.404763, 1.012865, 0.072574]];[-2.151, 0.3688, 0.0114];[[-44.572319180507215, 21.62825184043761, 23.492995763512713], [96.4177686204936, -5.117295727704488, -8.29241934670661], [-43.34283026768095, -27.203006498874522, -6.582119129159753], [-8.502619172305431, 10.692050386141394, -8.618456101825297]];2;mc_amon00003_001_006;[6, 8, 1, 1];4;C=O;-71820.26820676365
6;-358.67134140285197;['C', 'O', 'H', 'H'];[[0.032389, 0.009048, -0.027077], [1.14684, -0.212484, 0.013764], [-0.613199, -0.925864, 0.106689], [-0.468144, 1.114201, 0.1087]];[-1.8329, 0.294, 0.0119];[[-173.59383683377456, 25.893353711252722, 40.71823000143763], [171.3648264706671, -6.223835156337601, -9.376238443972568], [-16.69625369622807, 28.546567839494436, -14.545348622568907], [18.925262873514463, -48.2160875802306, -16.796642934896166]];2;mc_amon00003_001_007;[6, 8, 1, 1];4;C=O;-71811.71404906794
7;-361.63348607031884;['C', 'O', 'H', 'H'];[[0.021909, -0.025826, 0.020413], [1.168596, -0.197065, 0.002589], [-0.851625, -0.647321, -0.088861], [-0.492791, 1.017148, -0.08685]];[-2.0805, 0.1104, -0.0235];[[-113.4538300117238, 90.64118721891002, -30.938194586824398], [84.47799139373747, -30.001291603045, 8.71234229784112], [-0.04798780635522226, -52.79260503258626, 8.795265578225974], [29.023825238520484, -7.847290583278769, 13.430587896578357]];2;mc_amon00003_001_008;[6, 8, 1, 1];4;C=O;-71814.6761937354
8;-359.38583937784205;['C', 'O', 'H', 'H'];[[0.032337, 0.005431, -0.02687], [1.169403, -0.210687, 0.013715], [-0.84061, -0.794428, 0.105837], [-0.619911, 1.012069, 0.107848]];[-1.899, 0.378, -0.002];[[-171.60722726694837, 14.305671657245412, 44.27420613953434], [80.14850892633648, -3.471059492522484, -9.616878295990746], [40.611864224664615, 7.582672243756663, -17.252770188586553], [50.8468529301262, -18.417284408479592, -17.404558840778098]];2;mc_amon00003_001_009;[6, 8, 1, 1];4;C=O;-71812.42854704293
9;-359.65942409593123;['C', 'O', 'H', 'H'];[[-0.037636, -0.003656, -0.035395], [1.217267, -0.205948, 0.015721], [-0.923948, -0.789973, 0.140939], [-0.465598, 1.037691, 0.14295]];[-2.4445, 0.444, 0.0642];[[61.08314959620876, -10.839611586280546, 60.38791575712117], [-125.7946009281523, 8.753722709291447, -18.422784246521392], [49.89778935145274, 17.700437794887932, -22.275215647759477], [14.813661980490808, -15.614548917898837, -19.689915862840294]];2;mc_amon00003_001_010;[6, 8, 1, 1];4;C=O;-71812.70213176102
10;-360.68323153086686;['C', 'O', 'H', 'H'];[[0.016172, -0.030914, -0.024863], [1.155212, -0.19121, 0.013243], [-0.774922, -0.829345, 0.097571], [-0.272387, 1.148987, 0.099582]];[-1.9588, 0.0796, 0.0148];[[-113.10523063943793, 90.37035399125143, 37.53510801943596], [122.62470322252885, -46.8904404382518, -9.5129980001439], [7.6337076102169785, 10.44696489099715, -12.30807783000929], [-17.153180193307886, -53.92687844399678, -15.714032189282769]];2;mc_amon00003_001_011;[6, 8, 1, 1];4;C=O;-71813.72593919595
11;-367.97750394232816;['C', 'O', 'H', 'H'];[[0.016667, 0.0146, 0.009142], [1.159845, -0.213833, 0.005241], [-0.635182, -0.894382, -0.042448], [-0.466088, 1.042262, -0.040437]];[-2.0617, 0.4283, -0.025];[[-86.9667783890094, -7.637763118216753, -14.525141046012138], [94.82953563627679, 6.044900688610723, 4.84035789326728], [-17.020191548083712, 16.220362363054573, 4.727927827631435], [9.157434300816332, -14.627501119269596, 4.956855325113422]];2;mc_amon00003_001_012;[6, 8, 1, 1];4;C=O;-71821.02021160742
12;-362.1423761735497;['C', 'O', 'H', 'H'];[[0.016613, -0.032461, -0.021111], [1.173103, -0.1934, 0.01236], [-0.90722, -0.699171, 0.082122], [-0.445916, 1.085305, 0.084133]];[-2.0434, 0.0792, 0.0009];[[-113.06553646552437, 86.5661119859475, 34.09497711160649], [55.946411146526415, -33.349087368795395, -8.254233537171894], [34.55370249922305, -15.6264569329087, -11.76862530259723], [22.565422819774895, -37.5905676842434, -14.07211945765842]];2;mc_amon00003_001_013;[6, 8, 1, 1];4;C=O;-71815.18508383865
13;-362.16896939754974;['C', 'O', 'H', 'H'];[[-0.044687, -0.023765, 0.016285], [1.209424, -0.199009, 0.003561], [-0.82578, -0.684512, -0.071863], [-0.364753, 1.056701, -0.069852]];[-2.5606, 0.2509, -0.0542];[[147.1904994340871, 90.40031968924976, -20.53597072414055], [-106.16391682688767, -11.20327562921819, 8.146991438641026], [-37.8525961905867, -62.93758161941075, 2.8525743635990333], [-3.173986416612712, -16.259462440620815, 9.53640373607944]];2;mc_amon00003_001_014;[6, 8, 1, 1];4;C=O;-71815.21167706265
14;-368.7675816684239;['C', 'O', 'H', 'H'];[[-0.01649, 0.012779, -0.017922], [1.187956, -0.215652, 0.011609], [-0.667717, -0.814866, 0.068988], [-0.491024, 1.018693, 0.070999]];[-2.3775, 0.4062, 0.0206];[[58.34924627444523, 7.8146461155226925, 25.45940131124531], [-35.39759798038658, 22.222837931867662, -9.674767708134892], [-33.24421928401177, -27.750829737096645, -6.480513238091727], [10.292570989953116, -2.286654310293707, -9.30412036501869]];2;mc_amon00003_001_015;[6, 8, 1, 1];4;C=O;-71821.81028933352
15;-371.58995487562197;['C', 'O', 'H', 'H'];[[-0.011341, 0.002652, -0.000309], [1.186723, -0.20922, 0.007465], [-0.751117, -0.80533, -0.003534], [-0.457356, 1.026374, -0.001523]];[-2.3306, 0.391, -0.014];[[25.031893848658587, 4.875720262875836, 0.587519783777807], [-28.35160107113687, 7.188408088557567, -0.31795775628755585], [-3.8117861988403514, -8.220492184942195, -0.15904113374903764], [7.131493421318632, -3.843636166491209, -0.11052089374121346]];2;mc_amon00003_001_016;[6, 8, 1, 1];4;C=O;-71824.63266254071
16;-366.17977464020373;['C', 'O', 'H', 'H'];[[0.005236, -0.025253, 0.019635], [1.169946, -0.194175, 0.002772], [-0.806262, -0.693842, -0.085657], [-0.354124, 1.005021, -0.083646]];[-2.2159, 0.2304, -0.0368];[[-28.958998773218838, 68.69518514086904, -26.596153088655683], [58.32553222503602, -35.19463640649262, 9.685890709607955], [-19.452628326937724, -48.942049600253334, 6.921945797298723], [-9.913905124879467, 15.441500865876895, 9.988316581749007]];2;mc_amon00003_001_017;[6, 8, 1, 1];4;C=O;-71819.2224823053
17;-357.9097883749215;['C', 'O', 'H', 'H'];[[0.001291, -0.023955, -0.041021], [1.157906, -0.189053, 0.017045], [-0.748429, -0.804463, 0.164105], [-0.162039, 1.008198, 0.166116]];[-2.105, 0.303, 0.0624];[[-41.70225395638283, 25.576382558080898, 52.86008773704566], [104.66378560359227, -56.196517408007225, -20.008859036422532], [-8.327807804378326, -4.787970690807039, -18.54544557619877], [-54.6337238428311, 35.40810554073336, -14.305781938603301]];2;mc_amon00003_001_018;[6, 8, 1, 1];4;C=O;-71810.95249604002
18;-356.276929657007;['C', 'O', 'H', 'H'];[[-0.030995, 0.036706, 0.020942], [1.189297, -0.226029, 0.002465], [-0.539842, -1.038472, -0.091039], [-0.436008, 1.113109, -0.089028]];[-2.3123, 0.5404, -0.0817];[[74.34379629192291, -76.88414871566565, -33.274978296294265], [-53.9420948997433, 48.17125050041205, 11.088015008729869], [-22.265853590549476, 66.5334452202526, 11.690179682506862], [1.8641510125488157, -37.820547004999014, 10.496783605057532]];2;mc_amon00003_001_019;[6, 8, 1, 1];4;C=O;-71809.3196373221
19;-367.3113116466503;['C', 'O', 'H', 'H'];[[-0.009037, -0.00311, 0.019085], [1.192958, -0.204572, 0.002902], [-0.882022, -0.811006, -0.08339], [-0.460342, 1.028026, -0.081379]];[-2.2473, 0.4472, -0.0425];[[-10.351622506728775, -10.156603562244898, -31.80528235613401], [-46.18527297620686, -0.2863496961314214, 8.870005507527075], [44.16699487235084, 19.67079094090452, 12.537289924543895], [12.369899424763743, -9.227838868349254, 10.397986924063034]];2;mc_amon00003_001_020;[6, 8, 1, 1];4;C=O;-71820.35401931174
20;-359.95488316675903;['C', 'O', 'H', 'H'];[[-0.029849, 0.020904, 0.028864], [1.198893, -0.215097, 0.000601], [-0.750982, -0.988042, -0.12366], [-0.409345, 1.079894, -0.121649]];[-2.3, 0.5761, -0.0879];[[60.67437336296837, -67.6485000298642, -47.30775339724961], [-84.45393582786514, 25.125873724537566, 14.359807945758186], [25.846699953581634, 66.89684363927448, 18.754616109123965], [-2.0671386745059324, -24.374217333947847, 14.193329342367457]];2;mc_amon00003_001_021;[6, 8, 1, 1];4;C=O;-71812.99759083184
21;-359.49083489056864;['C', 'O', 'H', 'H'];[[-0.042711, -0.011354, 0.010294], [1.19446, -0.195201, 0.00497], [-0.792733, -0.840545, -0.047193], [-0.166509, 0.995385, -0.045182]];[-2.4623, 0.4233, -0.0463];[[112.37466407626809, -64.68556723000815, -11.527827736379061], [-59.60838189940669, -25.901889251189086, 5.858756428884249], [5.859389657326318, 15.481007680064167, 5.278165397516582], [-58.62567064836668, 75.10644880113307, 0.39090590997823027]];2;mc_amon00003_001_022;[6, 8, 1, 1];4;C=O;-71812.53354255566
22;-357.9953869422865;['C', 'O', 'H', 'H'];[[-0.049226, -0.018007, -0.045499], [1.21534, -0.201864, 0.018098], [-0.836101, -0.707995, 0.182543], [-0.390888, 1.058248, 0.184554]];[-2.5246, 0.2735, 0.1017];[[125.52848133917766, 61.84188415266125, 67.97793534811952], [-121.78675226230183, -3.1355693719727467, -24.3454694741705], [-7.6513632998686285, -35.63752871141532, -16.302752023965773], [3.9096342229927967, -23.06878488345213, -27.329713849983253]];2;mc_amon00003_001_023;[6, 8, 1, 1];4;C=O;-71811.03809460737
23;-358.23739601113994;['C', 'O', 'H', 'H'];[[-0.040729, -0.011146, 0.025229], [1.217374, -0.200407, 0.001456], [-0.968864, -0.822758, -0.108692], [-0.387197, 1.067166, -0.106681]];[-2.4286, 0.4502, -0.0731];[[65.21777557661008, -6.791478207632305, -42.533778952325996], [-127.17529388339122, -2.0401304142126997, 12.022402866056781], [61.274545857377056, 32.88928525566311, 16.852029078798342], [0.6829724494040701, -24.057676633818105, 13.659348193291933]];2;mc_amon00003_001_024;[6, 8, 1, 1];4;C=O;-71811.28010367622
24;-370.28453060132347;['C', 'O', 'H', 'H'];[[0.002561, -0.010184, 0.011427], [1.17752, -0.200419, 0.004704], [-0.833762, -0.788162, -0.051859], [-0.404144, 1.020189, -0.049848]];[-2.1867, 0.3762, -0.0281];[[-42.201446673239246, 9.995263121474936, -18.128028264948334], [18.648321481614097, -16.148681852069092, 5.516070746187543], [24.423177513566174, 3.9862240331358993, 6.819275038925494], [-0.8700523219410199, 2.1671958832793075, 5.792681294014244]];2;mc_amon00003_001_025;[6, 8, 1, 1];4;C=O;-71823.32723826641
25;-368.0613178727437;['C', 'O', 'H', 'H'];[[-0.025945, 0.010119, 0.011629], [1.201707, -0.215295, 0.004656], [-0.741155, -0.779148, -0.052688], [-0.529593, 1.012749, -0.050677]];[-2.4653, 0.4033, -0.0386];[[77.55282609228104, 7.656191963194674, -16.631792463810605], [-81.30954513308234, 23.754702912350773, 5.611056198319095], [-16.194019348371828, -28.224651812533416, 4.507582117106865], [19.950737203352087, -3.186241877190977, 6.513154148384646]];2;mc_amon00003_001_026;[6, 8, 1, 1];4;C=O;-71821.10402553783
26;-357.44300478492323;['C', 'O', 'H', 'H'];[[-0.004337, -0.035271, 0.024525], [1.167392, -0.190706, 0.001622], [-0.736687, -0.668398, -0.10579], [-0.270454, 1.038782, -0.103779]];[-2.2669, 0.119, -0.0514];[[58.71705239031948, 152.01465545431316, -23.10209815428185], [59.30950756131807, -45.64444845383698, 12.888872822598], [-93.76092113654683, -105.86236964814655, -3.4187469967885553], [-24.26563881509074, -0.5078373523296129, 13.631973514293458]];2;mc_amon00003_001_027;[6, 8, 1, 1];4;C=O;-71810.48571245001
