;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-487.77874805770415;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.329567, 0.007281, 0.031965], [0.961991, -0.139876, 0.436447], [-0.613806, 1.13975, -0.097603], [-0.479194, -0.640837, -0.812057], [-0.960922, -0.534946, 0.884238], [1.538959, -0.423931, -0.456627]];[-0.2339, -0.4509, -1.835];[[-58.229451074251905, 1.4420817253091633, 46.33821898974571], [109.27929403797734, -27.66864285158543, -72.29023764011094], [1.522698583746779, -49.38908160647054, -0.8647493301939468], [-18.974898971132745, 6.363438311392985, -24.5752341613156], [15.57461046484843, 38.45292521337432, -36.27782939024282], [-49.172251855366824, 30.799278022158454, 87.66983271793866]];2;mc_amon00005_001_001;[6, 8, 1, 1, 1, 1];6;CO;-72569.09352027056
1;-493.292943636054;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.342584, -0.03136, 0.0337], [0.984224, -0.143955, 0.448699], [-0.52708, 1.033546, -0.175699], [-0.524861, -0.414356, -0.943476], [-0.98997, -0.30863, 0.934173], [1.338767, -0.266781, -0.501485]];[-0.6794, -0.0789, -1.9043];[[-31.739474031000828, 51.81122545858829, 56.04747630319447], [34.65833816308038, -24.703858985066333, -77.0313944874048], [-10.025508673241674, 7.762981078083465, 9.348697750026734], [-15.474741801622413, -38.27861307611034, -11.474143245687314], [7.916317226748609, -3.1170539620579882, -40.30527612062905], [14.665069116035925, 6.52532067238397, 63.414639800499984]];2;mc_amon00005_001_002;[6, 8, 1, 1, 1, 1];6;CO;-72574.60771584892
2;-471.6038768544592;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.330824, 0.008455, 0.056995], [0.951449, -0.131476, 0.425762], [-0.707213, 0.934139, -0.110952], [-0.294686, -0.484047, -0.995935], [-0.900659, -0.442118, 0.91853], [1.569141, -0.608975, -0.434423]];[-0.2124, -0.4877, -1.6547];[[-19.356256649995725, -108.0339423969309, -41.388505864831885], [158.71469737222424, -36.43075880228694, -54.07659072352528], [-17.069367547133606, 86.28666613998412, -7.149134881117649], [-46.51326633606227, 4.375141321208978, 38.819286999206554], [-9.645080678083911, -2.891726617291589, -31.761977357115363], [-66.13072616094873, 56.69461916949527, 95.55692064156258]];2;mc_amon00005_001_003;[6, 8, 1, 1, 1, 1];6;CO;-72552.91864906732
3;-482.77346391791355;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.355565, -0.028788, 0.043953], [0.980703, -0.130464, 0.43723], [-0.521363, 1.082551, -0.017169], [-0.39664, -0.513089, -0.913784], [-1.106968, -0.303355, 0.830923], [1.525221, -0.416953, -0.541455]];[-0.5322, -0.3542, -1.8275];[[-7.533621941738342, 57.75907262315178, 15.501878130589322], [83.93355960372568, -49.47084041058178, -83.17882956496771], [-11.171189683177872, -15.659087170812148, -17.734893011391282], [-33.82287861288481, -6.349774095404271, -9.93286640350999], [19.608157058729063, -17.965837590483684, -15.108981227063834], [-51.01402523883268, 31.686466644130096, 110.4536920763435]];2;mc_amon00005_001_004;[6, 8, 1, 1, 1, 1];6;CO;-72564.08823613077
4;-481.2108875161272;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.342833, -0.014122, 0.055239], [0.952675, -0.189186, 0.403606], [-0.303071, 0.927107, -0.453712], [-0.78212, -0.645288, -0.76459], [-0.779257, -0.211347, 0.964851], [1.699276, 0.486037, 0.023921]];[-0.0046, 1.3807, -0.9304];[[13.136448541952635, 14.4598592254263, -82.43244889224087], [151.5473198200339, 8.778562102879537, -7.285294411836382], [-40.219644424960144, 35.970417140575734, 11.080283455467143], [14.35947235840031, -12.116616348683113, 14.190748995757076], [-59.45315555198375, 9.468074355388508, 42.92102779017812], [-79.37044074344298, -56.56029528976591, 21.525683062674904]];2;mc_amon00005_001_005;[6, 8, 1, 1, 1, 1];6;CO;-72562.52565972898
5;-489.5623012932958;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.388741, -0.019638, 0.045077], [1.020134, -0.185831, 0.452159], [-0.545915, 1.038492, -0.38471], [-0.64158, -0.56064, -1.011259], [-0.983818, -0.143091, 0.93938], [1.444812, 0.222835, -0.408952]];[-0.75, 0.8943, -1.6078];[[33.19243685028834, 30.712926533110632, -72.32951203337193], [-18.692633242706364, 35.011237322502836, -85.6552010138193], [3.611823566388329, -19.83249068545341, 29.933317968669837], [5.389193822668294, -0.3311452722131372, 69.24736745728042], [-12.097643211842064, -13.915186713740844, -5.945818224742558], [-11.40317778479653, -31.64534118420607, 64.74984584598351]];2;mc_amon00005_001_006;[6, 8, 1, 1, 1, 1];6;CO;-72570.87707350616
6;-503.4455982583606;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.343816, 0.004922, 0.042383], [0.985362, -0.189846, 0.429636], [-0.543155, 1.039923, -0.273454], [-0.620486, -0.757409, -0.75264], [-1.033278, -0.224759, 0.831327], [1.493562, 0.278893, -0.30105]];[-0.509, 0.9706, -1.4403];[[-13.4170173604528, -23.196933007139727, -31.417879361545058], [27.65670637687031, 28.69207164010738, -28.33038436086437], [-1.8484898739075828, -4.175443126851678, -4.896339319337846], [2.85193046276749, 24.636418970164826, 5.768032817615617], [-2.4818119958407334, -1.200098338038429, 23.124028728827998], [-12.761317609436684, -24.756014952421324, 35.75254149530366]];2;mc_amon00005_001_007;[6, 8, 1, 1, 1, 1];6;CO;-72584.76037047122
7;-482.9750161959469;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.298948, -0.005903, 0.065986], [0.96557, -0.150576, 0.427902], [-0.715251, 1.00226, -0.18524], [-0.481536, -0.579869, -1.018277], [-1.188792, -0.307996, 0.894971], [1.444709, -0.277811, -0.454978]];[-0.0399, 0.0114, -1.6831];[[-154.61846946332602, -21.18849247473579, -54.827712308820296], [82.02275957679, -8.54611746015564, -22.219459527688898], [24.485444977036387, 3.642564791355038, 3.990915141219849], [-5.184859067995463, 19.84948587277878, 65.06535843926068], [65.58228155249505, -1.7067581700628445, -44.58590038902224], [-12.287158760820985, 7.949318626641507, 52.57679983087196]];2;mc_amon00005_001_008;[6, 8, 1, 1, 1, 1];6;CO;-72564.2897884088
8;-487.5243324990387;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.32796, -0.016508, 0.074374], [0.97837, -0.197165, 0.413534], [-0.350677, 1.011748, -0.466978], [-0.777539, -0.720869, -0.79298], [-1.080882, -0.155281, 0.794354], [1.444298, 0.56083, -0.155285]];[-0.3538, 1.4351, -1.0201];[[-39.288704935254096, 23.933546071856597, -127.40288851801012], [67.07937470225377, 47.14406384497452, -28.146052035706216], [-26.664011698388748, -29.030309308035914, 28.662027677919585], [32.993382556762576, 19.850579199789244, 31.912607462138556], [-11.708514847621629, 7.005275814304609, 44.12738133426884], [-22.41152696357294, -68.90315680871011, 50.84692407938936]];2;mc_amon00005_001_009;[6, 8, 1, 1, 1, 1];6;CO;-72568.8391047119
9;-488.14963188481374;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.372727, 0.030469, 0.037627], [1.029168, -0.179063, 0.463445], [-0.821618, 0.960317, -0.281596], [-0.603343, -0.608549, -0.874801], [-1.040551, -0.377155, 0.720134], [1.399978, -0.131977, -0.540374]];[-0.8948, 0.2084, -1.8839];[[17.640903648943883, -48.69617553410913, -47.684027461260236], [-25.940709474986924, 30.144631280237014, -114.92640275375757], [23.263004584546575, 31.915765303601535, 8.447372955287454], [13.264599037282338, 7.71768745715967, 16.35500404282602], [-21.53077023499041, -16.17403352035189, 47.96069848596061], [-6.697027560795459, -4.9078749865372036, 89.84735473094372]];2;mc_amon00005_001_010;[6, 8, 1, 1, 1, 1];6;CO;-72569.46440409767
10;-499.4768436805891;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.390793, 0.003962, 0.032808], [1.025195, -0.205094, 0.422972], [-0.555202, 1.046247, -0.343389], [-0.672255, -0.74724, -0.654896], [-1.119309, -0.156993, 0.834667], [1.591287, 0.44374, -0.122979]];[-0.6996, 1.2607, -1.3001];[[36.234813731561005, 27.75717862301208, 16.854138654450853], [-14.867412877161497, 38.753612671852316, -27.105367179227326], [1.8641237386646066, -20.35014900774037, 0.5104864765610443], [-3.5340823240031844, -15.176948932333731, -35.258038700710145], [16.384399360898065, 4.450101813225856, 16.941823006361766], [-36.08184281578006, -35.43379516801614, 28.056957742563803]];2;mc_amon00005_001_011;[6, 8, 1, 1, 1, 1];6;CO;-72580.79161589345
11;-504.64522255278695;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.327531, 0.000122, 0.037415], [0.970407, -0.169477, 0.4327], [-0.662318, 0.984662, -0.227377], [-0.621602, -0.605492, -0.830027], [-0.921328, -0.290545, 0.884382], [1.546151, -0.028527, -0.309904]];[-0.262, 0.3967, -1.5935];[[-31.252054145554293, -16.599769366286072, -11.355004990357108], [26.182964415278697, 0.5484054763589327, 15.043826289330621], [6.445014499062126, 30.06069530867327, -1.4837597778436842], [1.5170493322523568, -9.988798025096349, 0.3151117857613986], [-13.50582231325838, -7.522336482781077, 9.35106702048976], [10.61284821221949, 3.501801903310245, -11.871240327380988]];2;mc_amon00005_001_012;[6, 8, 1, 1, 1, 1];6;CO;-72585.95999476565
12;-485.5408829829081;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.280909, 0.018866, 0.041002], [0.931563, -0.198422, 0.420474], [-0.60006, 1.086235, -0.401994], [-0.631926, -0.784531, -0.699423], [-0.811216, -0.368496, 0.985517], [1.442936, 0.333857, -0.207578]];[0.0818, 1.0285, -1.2324];[[-168.37851165129658, -28.075361685299622, -12.823809193085834], [145.04567287914338, 25.884012998821664, 0.8046531050709778], [14.982039083386695, -46.536297352545205, 31.817575762985957], [4.410738483385942, 26.53707904128003, 0.43264443938643204], [-17.87933550216218, 35.70145869600123, -29.727511610070774], [21.819396707542758, -13.510891698258098, 9.496448681534293]];2;mc_amon00005_001_013;[6, 8, 1, 1, 1, 1];6;CO;-72566.85565519577
13;-504.7570924317986;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.34904, -0.003239, 0.017432], [0.990664, -0.180268, 0.436244], [-0.578601, 1.022391, -0.24895], [-0.773861, -0.660624, -0.744597], [-0.954924, -0.273037, 0.924588], [1.593453, 0.177559, -0.227807]];[-0.3528, 0.7922, -1.5027];[[-17.450424027449227, -9.428703910622279, 42.303228065823056], [-2.6643667752410933, -3.9186049592554544, -11.523646531347715], [-0.8397403641953396, 10.725656554771103, -2.5369064277639812], [16.008826117129512, -7.045291345723433, -12.789070565350926], [9.617938420011738, 11.1756412554092, -14.201688194966993], [-4.672233370255589, -1.508696408758085, -1.2519151605723853]];2;mc_amon00005_001_014;[6, 8, 1, 1, 1, 1];6;CO;-72586.07186464466
14;-481.08107525872384;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.350242, 0.011923, 0.041181], [0.995261, -0.211892, 0.424716], [-0.485484, 0.979315, -0.297249], [-0.651919, -0.846955, -0.62618], [-1.116696, -0.11882, 0.762663], [1.479817, 0.590477, -0.2508]];[-0.7069, 1.4565, -1.2536];[[-0.5026944464246362, -81.40107510266674, -14.568334577851838], [46.439741873340054, 99.52204298906807, -63.47281262387568], [-12.08928435924253, 44.44241011255655, -34.55871259317014], [5.490942012262627, 29.618305791876853, -12.140453723481784], [-3.427546974819644, -0.9900419967869691, 48.21380250306231], [-35.911156919294825, -91.19164179404778, 76.52650982949609]];2;mc_amon00005_001_015;[6, 8, 1, 1, 1, 1];6;CO;-72562.39584747158
15;-498.70996874481176;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.377376, -0.004238, 0.020922], [1.019487, -0.195594, 0.440914], [-0.475309, 1.071849, -0.282914], [-0.806879, -0.770774, -0.750011], [-1.025765, -0.184094, 0.853564], [1.469079, 0.406939, -0.22721]];[-0.7609, 1.1928, -1.3478];[[14.130159469076242, -9.980697681486275, -16.7218970764898], [-24.231520371766322, 29.62305381937133, -51.316982358805284], [-9.958845371129597, -23.67493510178679, -3.0940253172171657], [30.539366206393982, 33.353487950721465, 15.180588217144058], [-4.400973247018064, 2.5460941692792587, 23.332771180353213], [-6.078186685556239, -31.867003156098992, 32.61954416919392]];2;mc_amon00005_001_016;[6, 8, 1, 1, 1, 1];6;CO;-72580.02474095767
16;-480.92610551898235;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.307322, -0.031936, 0.050904], [0.970277, -0.132418, 0.44129], [-0.633111, 1.019289, -0.126442], [-0.693815, -0.473544, -1.027556], [-1.123719, -0.320025, 0.864984], [1.543628, -0.36009, -0.491561]];[-0.0664, -0.2195, -1.7494];[[-139.65983374423277, 19.91633534879611, -42.532344108852406], [101.53285397775609, -43.76214014933127, -86.17823940622173], [11.538488267641625, 2.3851094748250667, 2.7871929340447794], [31.070463438669663, 2.652971034925939, 60.85553598845302], [46.93930338054381, -5.395265226457429, -31.519086816739417], [-51.42127532037842, 24.202989517241594, 96.58694022349468]];2;mc_amon00005_001_017;[6, 8, 1, 1, 1, 1];6;CO;-72562.24087773185
17;-481.000337379742;['C', 'O', 'H', 'H', 'H', 'H'];[[-0.295218, -0.029566, 0.022419], [0.956111, -0.195374, 0.433], [-0.62853, 0.926303, -0.270595], [-0.904656, -0.607566, -0.776102], [-0.830103, -0.007592, 0.930455], [1.559412, 0.472282, -0.170722]];[-0.099, 1.4429, -1.1774];[[-108.24270619323505, 1.0932297731391172, -19.349510514027674], [131.64600289486853, 50.44849769229575, -65.8975569815617], [15.603627506004708, 52.73902726578925, -20.86615666712216], [41.30506082318391, -12.882506149366776, 23.6756098339657], [-36.64828700199062, -26.206087925803722, 29.900648598671655], [-43.66369684301045, -65.19216065605362, 52.536965730074186]];2;mc_amon00005_001_018;[6, 8, 1, 1, 1, 1];6;CO;-72562.3151095926
