;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-681.448472606139;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.706287, 0.045368, -0.007031], [-0.733061, -0.009188, 0.055175], [1.203052, -0.984981, 0.297197], [1.252386, 0.88267, 0.47108], [1.163388, -0.044266, -1.101776], [-1.102911, 0.467126, -0.926778], [-1.322718, 0.460446, 0.975244], [-0.876953, -1.160256, -0.310294]];[0.0297, 0.0473, -0.1445];[[135.39191080513362, -48.11552284004673, -29.757203383405958], [-83.25304417554253, -31.061694291985944, -60.73347587004929], [-19.31175041425083, 48.88928174923522, 13.41296896737934], [-8.495707021390025, -8.847509296338856, -1.1111854755170647], [-32.58920968084825, 19.79319257577139, 38.920349784232506], [-1.446755046077324, 1.003435845575697, 39.861813435780064], [31.57424409717845, -37.732363422424974, -43.531433920270445], [-21.869687378382064, 56.071182051856304, 42.938167647671904]];2;mc_amon00007_001_001;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50043.92437926704
1;-682.7155048467926;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.799355, 0.002505, -0.020211], [-0.826041, -0.058592, -0.032896], [1.20104, -0.701977, 0.643346], [1.107464, 1.014239, 0.515263], [1.266191, 0.193946, -1.034633], [-1.05426, 0.766216, -0.567659], [-0.920106, 0.417081, 1.056203], [-1.26422, -1.065951, 0.042931]];[-0.0083, 0.0867, 0.1471];[[-26.09713350167295, 88.96700118151905, -17.152694006676334], [97.74929269160891, -10.216916792620488, 141.66641490922632], [23.16043817842597, -38.522572041254655, 6.399757638590962], [-19.41697661699234, -38.64411988496367, -21.160980240495217], [-7.863252920467354, -29.471293626885043, 22.730414403565707], [-48.5838901386417, 43.07105549810661, -66.52343333310579], [-15.595699106447254, -30.642724740977698, -41.440054691807966], [-3.352779771634334, 15.459570407075889, -24.519424679297657]];2;mc_amon00007_001_002;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50045.191411507694
2;-688.9687585561895;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.709671, 0.03504, -0.040947], [-0.72989, -0.025326, 0.025541], [1.03998, -0.910149, 0.668465], [1.123667, 0.949288, 0.576097], [1.221596, 0.01966, -1.029638], [-1.153881, 0.511074, -0.89794], [-0.8916, 0.320984, 1.089277], [-1.08146, -1.005122, -0.243336]];[-0.0402, -0.0503, -0.0776];[[109.00904779173975, -21.219897759491932, 68.96038216106481], [-44.61471109731538, 30.700660400142887, -34.29624889050054], [1.2688961180451237, 49.55910700062949, -46.1140193608003], [-14.559340125168127, -34.15935059326607, -33.733534111500305], [-8.897215357399245, -6.128397906385021, 14.408557049229158], [-1.3651741151239725, 11.474833393539907, 45.70653448668615], [-33.27378417449433, -8.345440963429974, -33.66753249753556], [-7.56771785446276, -21.881513571739298, 18.73586116335659]];2;mc_amon00007_001_003;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50051.444665217095
3;-692.4129170961021;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.790137, 0.024809, -0.040806], [-0.761968, -0.06442, 0.042548], [1.289642, -0.782684, 0.52268], [1.115979, 0.913714, 0.611705], [1.085664, 0.093843, -1.007697], [-1.144741, 0.67075, -0.799896], [-1.41329, 0.526255, 0.863717], [-1.293406, -0.970759, -0.161361]];[0.0723, 0.046, -0.1104];[[-35.64931695849887, 10.484022984710874, 136.02025366446705], [-53.022836933226074, 105.13792310742902, -21.03097630686035], [-4.58298492037635, -5.409182022330338, -14.961650076208882], [-9.013281150382255, -16.981929846001634, -33.87417604579774], [28.730357058610515, 5.2466486455814945, -69.23345659051277], [17.08442984614329, -35.34437121662112, 20.814529575956616], [51.700211263289205, -39.411676950047244, -17.63706040291252], [4.753421794440542, -23.72143470272104, -0.0974626323103617]];2;mc_amon00007_001_004;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50054.888823757006
4;-687.5501057193651;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.788351, -0.011169, -0.039295], [-0.762367, -0.026385, 0.023025], [1.088692, -0.512078, 1.005318], [0.954747, 1.154797, 0.083149], [1.291933, -0.222402, -0.936429], [-1.353993, 0.910961, -0.50043], [-1.086161, -0.050228, 1.159752], [-1.225624, -0.856294, -0.58956]];[0.0566, 0.0128, -0.0598];[[-35.091060866656285, 80.32946047567378, 102.17352937603621], [-56.71125623886277, 18.485370695854748, -17.80024005213501], [6.3089225601433885, 18.466724845624206, -66.29432084753961], [10.516233441961713, -50.53687930698557, 3.883106220225853], [13.174599962676826, -27.891968530415102, -25.593158368511542], [43.38869545435208, -42.36785412736682, 33.291205071577565], [7.803195827439119, -2.1951101108567004, -57.10317484001988], [10.610669858945927, 5.710257244292519, 27.44305225454536]];2;mc_amon00007_001_005;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50050.026012380265
5;-695.4671401820256;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.803042, 0.050274, -0.0113], [-0.800545, -0.039705, 0.015562], [1.149412, -0.983895, 0.500267], [1.316347, 0.928404, 0.529539], [1.024197, -0.006532, -1.122151], [-1.235581, 0.69864, -0.792891], [-1.282977, 0.402872, 0.904422], [-0.992175, -1.154646, -0.073977]];[-0.0467, 0.0302, 0.0212];[[-11.36306264440929, -41.56313580213796, 15.557708957386213], [16.512796507006705, 35.27231598618303, -16.295389261050396], [-6.154793097194077, 57.89701207127042, -26.716988253912117], [-22.30879572832603, -28.573424314692936, -23.67422598079736], [10.99586841219816, 4.609323191774883, 32.09348074728637], [16.063839913221187, -48.40579997550425, 20.42253508225213], [10.530851058076687, -16.189426663435242, 5.979667486688041], [-14.276704420573342, 36.953134320721, -7.366787592031845]];2;mc_amon00007_001_006;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50057.94304684293
6;-679.2639841774704;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.731016, 0.0428, -0.03844], [-0.710688, -0.033118, 0.031448], [1.056584, -0.490444, 0.952144], [1.005545, 0.937546, 0.100241], [1.320555, -0.425887, -0.939464], [-1.208681, 0.780116, -0.497144], [-1.044274, -0.160186, 1.084373], [-1.378935, -0.772972, -0.629907]];[-0.0168, 0.2309, 0.0142];[[38.29520508427784, -208.3370726692923, 0.4188225091977281], [-118.68276486242206, -34.485299597626856, -46.57260007824845], [6.140897646100115, 12.479419485536592, -46.13602464207276], [57.102736086230436, 170.56731319415363, 17.049889250524163], [-31.50001881421416, 18.802820920731808, 37.16923123441423], [3.307862055984204, 28.64048368103657, 19.173564315353264], [-5.835808419875, 10.09289769783792, -18.007832257239237], [51.17189240973968, 2.2394384734437054, 36.90494848225]];2;mc_amon00007_001_007;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50041.73989083838
7;-692.2616321547554;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.740559, 0.033552, -0.018608], [-0.751978, -0.056895, 0.019506], [1.275286, -0.655703, 0.68909], [1.022363, 1.044399, 0.169426], [1.024567, -0.277661, -0.912429], [-0.87378, 1.000339, -0.507104], [-1.213791, 0.163608, 0.999455], [-1.108435, -1.008568, -0.420106]];[0.1008, 0.0124, -0.0576];[[-1.6477398562766574, -22.60474583169902, 117.89859444439205], [-9.559904337699182, 67.79580034937177, -5.971110601972728], [-8.762988714996194, 14.101768541435716, -4.75254310104059], [17.397317031610083, 17.24973685833409, 4.120762546475776], [38.90468627394917, -23.628041808263088, -105.30676742381961], [-34.125968544815294, -60.28965862470558, -0.3308025699289458], [6.687702264038084, -14.508935615507779, -2.978577337002542], [-8.89310411581, 21.884076131033893, -2.679554771282353]];2;mc_amon00007_001_008;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50054.73753881566
8;-696.4507591492011;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.73002, 0.023237, -0.015501], [-0.75227, -0.04308, 0.000613], [1.201178, -0.829964, 0.635274], [1.11533, 0.886711, 0.563878], [1.058357, 0.156834, -1.108921], [-1.057759, 0.703498, -0.804203], [-0.931341, 0.428922, 0.966451], [-1.109148, -1.123402, -0.07213]];[0.0183, 0.1213, 0.1234];[[66.6600458474666, -16.975219284665165, 1.7378195667137462], [-9.567809020835583, 13.89773735695234, -3.713610888077397], [-12.404174396467099, 22.435524424213707, -44.56999852870734], [-7.305294469708953, 3.097522303501181, -14.488967574803626], [10.42414969394579, -19.632652564211906, 40.00218500287752], [-13.586487790359149, -32.35280913909299, 20.679322259543092], [-32.16905075132428, -10.025971143452173, 4.3881651938293045], [-2.051379112717336, 39.55586923257606, -4.034916217196346]];2;mc_amon00007_001_009;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50058.926665810104
9;-671.4472080957623;['C', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[0.722509, -0.022787, -0.051535], [-0.758221, -0.002205, 0.035733], [1.277292, -0.69485, 0.585299], [0.756744, 1.080123, 0.659032], [1.369826, 0.017163, -1.045003], [-0.983946, 0.654725, -0.887163], [-0.888032, 0.289684, 1.054802], [-1.095987, -1.0615, -0.186455]];[0.0317, -0.1871, 0.0168];[[78.2064447273499, 100.80162691225996, 33.27006069638927], [2.2238757579498354, -57.20354273390904, -87.48501894943318], [-4.135834332053883, -15.986310932804448, 9.748870851530762], [41.39522591273678, -59.038363648543694, -60.74270748694352], [-44.93000905698203, 6.766323385644232, 40.72809010348972], [-21.47866881540384, -12.218101286003776, 49.27608116090842], [-38.27214205062649, 9.503274267512863, 6.826085209230377], [-13.008893328791316, 27.375094035843883, 8.37853722900708]];2;mc_amon00007_001_010;[6, 6, 1, 1, 1, 1, 1, 1];8;CC;-50033.92311475667
