;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-545.415878548286;['C', 'C', 'H', 'H', 'H', 'H'];[[0.609335, -0.156431, 0.146162], [-0.583906, 0.149877, -0.158761], [1.096282, -1.10494, -0.079842], [1.184802, 0.710321, 0.497972], [-1.086374, 1.010802, 0.317952], [-1.472897, -0.562174, -0.578283]];[0.0528, 0.0126, 0.1783];[[94.19908675875399, -3.364600035886307, 5.355878180196464], [-180.4087907407845, -19.25263604895939, -12.100021968873511], [1.6814361473063597, 5.848870238769009, -1.2559410230458452], [9.073268279968389, -18.717811781115486, 9.867830047882034], [14.344195425780109, 5.136245148124486, -19.129916614050433], [61.110802943154596, 30.349933664888738, 17.26217019207024]];2;mc_amon00011_001_001;[6, 6, 1, 1, 1, 1];6;C=C;-49279.619720661416
1;-541.2709245185181;['C', 'C', 'H', 'H', 'H', 'H'];[[0.611085, -0.145308, 0.081011], [-0.622433, 0.140039, -0.123838], [1.185124, -1.150822, 0.00083], [1.172891, 0.587359, 0.875409], [-0.980243, 1.204382, 0.114267], [-1.241146, -0.595816, -0.478892]];[-0.2062, -0.1627, 0.2144];[[131.30927359131888, -6.100218054891854, 97.34083070094745], [-35.17560516442, 77.060228912119, 8.49844389637935], [-33.761844403309254, 38.70309076590776, -6.687222006511794], [-18.039051368090128, -34.26713935530216, -60.19989078520532], [2.973810336371229, -44.5118814389211, -7.226668604818594], [-47.30658417769178, -30.884082014732677, -31.72549320079108]];2;mc_amon00011_001_002;[6, 6, 1, 1, 1, 1];6;C=C;-49275.474766631654
2;-553.302965874299;['C', 'C', 'H', 'H', 'H', 'H'];[[0.613718, -0.134855, 0.142261], [-0.626266, 0.145287, -0.16082], [1.031207, -1.076012, -0.199844], [1.4027, 0.539639, 0.696995], [-1.027916, 1.09418, 0.174901], [-1.2756, -0.673742, -0.444803]];[-0.005, -0.1165, 0.1513];[[78.12991895154362, 11.85299291302411, 18.46222465472972], [-20.10430340130143, 10.166705571791704, 25.990536489794675], [2.9371411919627444, -6.12052998370125, 6.8118743297364315], [-43.68611953329341, -23.680765783902253, -30.686314337048955], [-11.352176807146737, 0.5840607437674733, -5.329096411724272], [-5.9244604017648, 7.197536539020217, -15.249224725487604]];2;mc_amon00011_001_003;[6, 6, 1, 1, 1, 1];6;C=C;-49287.50680798743
3;-547.2962503461541;['C', 'C', 'H', 'H', 'H', 'H'];[[0.61019, -0.156034, 0.103956], [-0.628903, 0.139316, -0.09301], [1.239566, -0.986061, -0.043786], [1.1593, 0.560404, 0.636394], [-0.862356, 1.151547, -0.012873], [-1.294939, -0.569451, -0.721565]];[0.2631, 0.1193, -0.1102];[[46.45592595906547, 1.8978579759679914, 29.143244533440154], [-57.93993286426803, -61.40813097059067, -74.5771860340257], [-2.385501981593466, -39.94935548916467, -13.799519356631496], [24.1190096702989, 33.187797918330695, 14.757985310430747], [-28.14490771839049, 34.756794513432794, 14.060717788238001], [17.895406934887603, 31.515036052023856, 30.41475775854829]];2;mc_amon00011_001_004;[6, 6, 1, 1, 1, 1];6;C=C;-49281.50009245929
4;-541.6016521945847;['C', 'C', 'H', 'H', 'H', 'H'];[[0.60705, -0.169396, 0.142508], [-0.6164, 0.173965, -0.116028], [1.211993, -0.970169, -0.220229], [1.434037, 0.498827, 0.568766], [-1.279465, 1.125264, -0.055791], [-1.273506, -0.686463, -0.61826]];[0.076, 0.0539, -0.2289];[[98.03751361336128, 56.58267410466993, 24.795511094219123], [-114.49293298291855, -27.656824958975562, -50.13933517075508], [-19.490188022956684, -37.26923389541919, -6.417414514063662], [-39.8664250938535, -1.5532631213766557, -3.852868969206484], [44.635786694882626, -33.573673575403944, 14.629066403058982], [31.176245791484828, 43.47032263232648, 20.98504115674712]];2;mc_amon00011_001_005;[6, 6, 1, 1, 1, 1];6;C=C;-49275.805494307715
5;-551.9850771910649;['C', 'C', 'H', 'H', 'H', 'H'];[[0.614072, -0.119726, 0.120303], [-0.605524, 0.138676, -0.13361], [0.891931, -1.136535, -0.145044], [1.368216, 0.523136, 0.745763], [-1.109345, 1.054684, 0.090856], [-1.271227, -0.63597, -0.527]];[-0.1111, -0.1009, 0.1483];[[109.61541027204281, -12.095286985410617, 48.193889010126576], [-94.56248873523901, 14.442466788048321, -14.395915010987755], [18.779957105017292, 1.405492030911201, 4.71027806708505], [-35.58484031040773, -25.191932257912832, -37.5111603632794], [-3.873216472647456, 16.704785678701278, 5.060263664181348], [5.625178141234098, 4.7344735598415975, -6.057357738767925]];2;mc_amon00011_001_006;[6, 6, 1, 1, 1, 1];6;C=C;-49286.1889193042
6;-539.7589531162554;['C', 'C', 'H', 'H', 'H', 'H'];[[0.637819, -0.135768, 0.091288], [-0.645179, 0.169227, -0.104842], [0.958045, -1.240003, 0.06602], [1.277745, 0.480492, 0.698143], [-1.140247, 1.16349, 0.170004], [-1.054254, -0.808869, -0.722199]];[-0.0593, -0.0031, 0.2631];[[2.402929993603021, -35.399764475449615, 41.261844760744204], [-8.668770489085652, -52.54763574790516, -44.31014481817444], [-5.517771213576923, 43.12320672217739, -15.373112194133336], [11.9576096037446, 11.03584481152225, -1.0439541651208089], [11.925630381599012, -40.956328638940164, -19.24394872392829], [-12.09962827628406, 74.74467732859532, 38.709315140612674]];2;mc_amon00011_001_007;[6, 6, 1, 1, 1, 1];6;C=C;-49273.96279522939
7;-539.6898928748345;['C', 'C', 'H', 'H', 'H', 'H'];[[0.59837, -0.141941, 0.166644], [-0.598448, 0.104909, -0.152811], [1.027635, -1.013138, -0.152775], [1.335647, 0.760072, 0.388433], [-0.91547, 1.034338, 0.260785], [-1.413946, -0.350973, -0.68152]];[-0.1108, 0.1138, -0.2822];[[118.70631408270495, 49.55440640597712, 7.374761052789295], [-106.14335824729933, 58.71715555675105, 2.9056362982381834], [38.26889290094247, -55.47382232498431, -13.559617085308012], [-38.60912156241825, -51.073489421334635, 9.574583616508892], [-16.340624776742608, 27.969757205642345, -5.013746275931307], [4.117897602812777, -29.694008607872636, -1.2816176062970468]];2;mc_amon00011_001_008;[6, 6, 1, 1, 1, 1];6;C=C;-49273.89373498797
8;-553.3031626612775;['C', 'C', 'H', 'H', 'H', 'H'];[[0.651792, -0.137868, 0.114566], [-0.633453, 0.128102, -0.130934], [0.942153, -1.151313, -0.018569], [1.222663, 0.664844, 0.689469], [-1.013689, 1.150369, 0.195842], [-1.360243, -0.550284, -0.668215]];[-0.1023, -0.0661, 0.1345];[[-25.10188693628627, 35.092620221340404, 29.213613526341494], [-21.25140739650071, 30.45098577752522, -2.890425771596925], [27.35679800282385, -13.198330613580765, -5.882927019398691], [-6.866448186217604, -36.55266357813278, -21.946883143083028], [3.6581737538699586, -32.050344134857205, -17.012031913421012], [22.20477194813182, 16.257731141884072, 18.518653135337104]];2;mc_amon00011_001_009;[6, 6, 1, 1, 1, 1];6;C=C;-49287.50700477441
9;-548.5153938875276;['C', 'C', 'H', 'H', 'H', 'H'];[[0.627411, -0.163707, 0.140073], [-0.642143, 0.190323, -0.155282], [1.011581, -1.125246, -0.07158], [1.397733, 0.583275, 0.551646], [-1.20116, 0.974147, 0.26913], [-1.073686, -0.738789, -0.53003]];[-0.0029, -0.1763, 0.203];[[11.394291241828602, 86.10289115072067, 16.19704319205587], [50.66900704612557, -82.23142257830469, 12.159216969996528], [8.86112726530652, -22.20998126001574, -11.763533386997514], [-28.360199459589023, -27.404964868158007, -7.203502404735675], [-11.48667144510767, 29.26773439918059, -3.085139960070292], [-31.07755583438506, 16.47574315657719, -6.304085596069974]];2;mc_amon00011_001_010;[6, 6, 1, 1, 1, 1];6;C=C;-49282.71923600066
