;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-676.5435039945928;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.642962, -0.09455, -0.003044], [0.832459, 0.139193, 0.030039], [1.376223, 1.170113, 0.351856], [-1.180094, 0.761018, 0.40814], [-0.943354, -0.233623, -1.044094], [-0.865816, -1.013202, 0.551044], [1.463747, -0.722119, -0.292675]];[-1.6511, -2.092, -0.6884];[[-0.37276877697924027, 1.425302357415361, 2.109870921956184], [16.482790491092587, 3.7424678433915797, -1.407743905090023], [-5.306595457251841, -1.1018957533912663, 0.696125576519127], [-0.22808675035571876, -0.28383575549998247, 2.2243322990550727], [-2.462063332031307, -3.7131697626458426, -2.646813066199966], [-3.8780237911945568, 0.40786433685097, -1.4719549292653944], [-4.235251197458873, -0.47673326612081884, 0.49618310302499885]];3;mc_amon00012_001_001;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96496.68813271624
1;-655.1410433801724;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.663463, -0.102, -0.048446], [0.80905, 0.203632, -0.027223], [1.406141, 1.142996, 0.415808], [-1.229843, 0.786798, 0.212181], [-1.02581, -0.760466, -0.964942], [-0.61306, -0.782461, 1.083997], [1.344677, -0.692959, -0.49765]];[-1.8149, -1.8761, -0.7306];[[6.045284894631755, -52.132341056338824, 60.2370674610243], [8.677058192422033, -43.95468072781529, -39.260710071845125], [-5.856981254768558, 11.166538893009708, 6.548209390340589], [-12.349965772870116, 0.5637559298843936, -7.591678554650899], [17.181488113474728, 32.975139885689906, 50.73326550314306], [-17.246146192186917, 34.02932294321015, -80.5100515354111], [3.549263205118129, 17.35226413235996, 9.843897807399156]];3;mc_amon00012_001_002;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96475.28567210182
2;-671.1791727389175;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.628275, -0.084133, 0.004709], [0.83354, 0.115242, 0.04015], [1.355398, 1.182365, 0.335825], [-1.044215, 0.772079, 0.542132], [-0.935871, -0.066801, -1.129626], [-0.853238, -1.113321, 0.420707], [1.445537, -0.839003, -0.160509]];[-1.612, -2.1138, -0.6432];[[-14.131899068560354, -19.021691469866987, -39.37983765478586], [40.250589611147895, 6.997371131168207, 13.263580416998185], [-8.03879001087863, -32.18501783179707, -12.088208819547852], [-13.19156076119167, -7.860895508214854, -1.6521428098448332], [6.059251494988873, -1.635791523351007, 47.53597414538427], [-4.232165691080097, 28.483240252003224, -8.116980679442698], [-6.715424388604961, 25.222784950058486, 0.4376165870598394]];3;mc_amon00012_001_003;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96491.32380146056
3;-663.257478077135;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.671749, -0.136965, -0.014162], [0.828676, 0.22264, -0.025058], [1.426206, 1.152028, 0.401781], [-1.319403, 0.749814, 0.178033], [-1.001537, -0.647806, -0.98167], [-1.085585, -0.823378, 0.913338], [1.472054, -0.657759, -0.493403]];[-1.844, -1.7351, -0.6178];[[-47.078653955715, -11.31075963524378, 33.52328803888043], [6.277695148545129, -93.28673145658375, -24.38221806858951], [-3.9964386956826994, 39.23777985015166, 15.555193830933721], [13.412674883758301, -3.426400285861813, -12.576765907383802], [14.385497573040968, 14.517567206949403, 29.221228869141076], [41.8134483964819, 27.434996972135288, -51.446838064808574], [-24.814222164607553, 26.833547348452992, 10.10611248764771]];3;mc_amon00012_001_004;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96483.40210679878
4;-671.4116882169247;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.637853, -0.09519, -0.010482], [0.854623, 0.114333, 0.0317], [1.365272, 1.187048, 0.338942], [-1.184495, 0.721097, 0.621082], [-0.968484, -0.0558, -1.091972], [-0.952605, -1.052113, 0.486646], [1.430055, -0.799281, -0.114936]];[-1.5172, -2.2, -0.6056];[[-35.9819551794172, 21.19208906998822, 18.23009662622686], [-6.1041810688495275, 40.00083909598286, 34.15728607881355], [-8.93394972196562, -36.07551764628567, -16.769361935760838], [24.626888526365352, -25.023867025953773, -33.80017962629659], [0.7103969328867533, -4.253694272289425, 26.181970697236647], [10.634353077007766, 10.379757297021944, -19.269745075105803], [15.048446248151416, -6.219606518464153, -8.730065579292765]];3;mc_amon00012_001_005;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96491.55631693857
5;-668.3157804923907;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.644571, -0.101498, 0.019388], [0.815116, 0.168931, -0.036829], [1.394981, 1.162754, 0.404106], [-1.251305, 0.90095, 0.067579], [-0.840458, -0.616392, -0.990903], [-0.872903, -0.915933, 0.790386], [1.36491, -0.703512, -0.539492]];[-1.749, -2.1072, -0.8125];[[-34.777055451936924, 2.536136829900866, -29.79971269649833], [40.3928596777505, 18.805398895700087, 18.159971912462343], [-24.199499645883893, -43.08791313018988, -22.868325391979077], [21.500627849655245, -49.5204456768527, 8.822266723592893], [-4.808052570332236, 17.12199191380436, 29.839770917475047], [2.070753057074152, 32.31932629585275, -15.94671755368034], [-0.17963173050578568, 21.82550368596347, 11.792746088627466]];3;mc_amon00012_001_006;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96488.46040921404
6;-663.5136180318354;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.670271, -0.106061, -0.041702], [0.831469, 0.157079, 0.110376], [1.396419, 1.178946, 0.305656], [-1.136762, 0.647861, 0.758675], [-1.026688, -0.063921, -1.100314], [-0.684419, -1.18719, 0.239456], [1.300175, -0.817542, -0.05802]];[-1.4792, -1.9613, -0.5145];[[6.775569232391085, 23.767156405044815, 45.49156766045601], [-39.046085947899186, -37.470687104934285, -36.89957671288188], [16.836499566293945, 32.27230849111852, 12.592366569151354], [2.8084784219383305, -42.935283730872065, -48.60756624177723], [3.192277706348536, 12.211787974719918, 19.59694749231916], [-21.968431883250247, 17.69682222649866, 4.841816453161935], [31.40169171835648, -5.542104261575568, 2.9844447795706364]];3;mc_amon00012_001_007;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96483.65824675349
7;-661.0304551110252;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.644474, -0.113143, -0.023057], [0.807881, 0.177217, 0.074643], [1.408211, 1.174311, 0.316078], [-1.0962, 0.626169, 0.678377], [-1.144195, -0.117424, -1.099827], [-0.968715, -1.241516, 0.254064], [1.45908, -0.768698, 0.045996]];[-1.9069, -1.921, -0.5331];[[-67.0692394897175, -35.63283997497347, -19.210374572467007], [42.314209954590865, -90.03963324297511, -4.276877073867082], [-8.701220482189107, 49.19734027137596, 3.3451324116663392], [-11.583461716881226, -12.615378612497441, -17.259511581270385], [30.497356123964742, 19.502400793977056, 45.57766894126175], [30.010072607939247, 59.283059008561644, 0.43754780943879057], [-15.467716997707015, 10.305051756531366, -8.61358593476241]];3;mc_amon00012_001_008;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96481.17508383267
8;-663.8499342445298;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.713549, -0.13273, 0.002603], [0.831669, 0.192685, -0.058054], [1.436963, 1.167546, 0.420719], [-1.268551, 0.857768, 0.120307], [-0.892776, -0.840133, -0.952809], [-0.944734, -0.766021, 0.818091], [1.452135, -0.555837, -0.496176]];[-1.656, -2.1309, -0.7592];[[34.66485543558528, 19.763874336067758, -65.0420060652725], [1.4093198612688824, 50.82144315661183, 50.92245376551146], [-49.629679954751886, -42.07294754652008, -24.473169357500232], [8.32886911422037, -35.050381275448025, -14.860006238867173], [-4.304844663391839, 49.271685322266556, 42.477391975455454], [-1.0460637407733229, -15.557401829733598, 30.11731114900696], [10.577542762021455, -27.17627216324443, -19.141975228333973]];3;mc_amon00012_001_009;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96483.99456296618
9;-666.726108859019;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.692706, -0.128038, -0.00543], [0.80948, 0.209606, 0.032676], [1.425308, 1.157093, 0.347845], [-1.185905, 0.719776, 0.4343], [-0.940341, -0.350074, -1.053042], [-0.854385, -1.080846, 0.429325], [1.510266, -0.717496, -0.151788]];[-1.8335, -1.8296, -0.5965];[[43.862485512620424, 28.532342730147857, -29.256981373875924], [14.367126833294622, -121.91820764090502, -9.515975596806891], [3.895155347940971, 80.494393954233, 17.287032116258327], [-22.134252355956804, 2.6198605394962033, 1.8835664606424714], [-5.009101414868409, 16.09739864900879, -1.7248549851460468], [-3.3871733254429452, -18.991730515152867, 28.852008068751108], [-31.59423941176681, 13.165943468993097, -7.524794689823045]];3;mc_amon00012_001_010;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96486.87073758067
