;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-739.9214330405749;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.185607, 0.07237, 0.069973], [-0.030797, -0.207257, 0.775966], [1.202543, -0.145428, 0.037857], [-1.287415, -0.857006, -0.657871], [-2.063471, -0.036073, 0.829055], [-1.223613, 0.975242, -0.57921], [2.032817, -1.210961, 0.260844], [1.65937, 1.079884, 0.295353], [0.906668, -0.40645, -1.194789]];[-0.1118, 0.3307, -1.1828];[[-39.715151087998755, -72.99740202480841, -22.695767084051848], [54.734636028583374, 4.636038554268133, 10.380542310558743], [7.62598910098583, -10.353604013707612, -37.626106741188785], [-9.755072695635683, 40.68649861589204, 18.74361524721931], [34.20273978557944, 15.38918125521665, -32.475553476244045], [4.320492758001494, -1.1402072599575537, 17.898156853908503], [-60.04569847374023, 88.01363070078267, -0.46182038056375463], [-17.300136624710227, -96.25089395287131, -30.294950700144437], [25.932201208934767, 32.01675812518539, 76.53188397050631]];3;mc_amon00024_001_001;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97188.33812630999
1;-789.1906525299167;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.103822, 0.101741, 0.035403], [-0.007351, -0.255607, 0.819428], [1.090699, -0.157272, 0.006559], [-1.073238, -0.577943, -0.784453], [-1.954357, -0.140404, 0.629345], [-1.265632, 1.207171, -0.137022], [1.923889, -0.624228, 0.473252], [1.407266, 0.906758, -0.144359], [0.980816, -0.672451, -0.946842]];[-0.1065, 0.2707, -1.272];[[-21.2441703306169, 17.188357574832242, 36.26104172160165], [-5.347247774575893, 9.168605920952553, 4.406239478312509], [37.204185681580704, 24.923910611969866, -2.985344817749534], [-12.404500497256555, 3.0436540105462866, -36.498464441104225], [-24.080285498006322, -11.16436291137825, 12.17091153721693], [20.69398256521596, -20.498132360174235, -13.325872782710505], [19.72849299332236, -13.246325534862304, 18.471682763444985], [-8.272068285802481, -10.769498730726555, -7.340222828812271], [-6.2783888538608785, 1.3537902330193436, -11.159970630199547]];3;mc_amon00024_001_002;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97237.60734579933
2;-792.5670086711609;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.155213, 0.075561, 0.082277], [-0.028796, -0.250036, 0.753645], [1.178238, -0.131803, 0.030526], [-1.378339, -0.691872, -0.666801], [-2.034364, 0.038145, 0.72596], [-1.118944, 1.144618, -0.338407], [1.969657, -0.785698, 0.544359], [1.514387, 0.910111, -0.048585], [0.985382, -0.56633, -0.962623]];[0.1664, 0.2948, -1.156];[[-29.261041625159905, 32.17323669963983, -29.316136057083153], [40.625773905611204, -6.837043381577136, 43.2815185759791], [-0.6278175406071417, -33.20463064817187, 8.69987694693655], [1.305628110969394, 6.529503063236368, -18.77234057639666], [3.766475976421822, 2.146467731280462, 13.98760836288418], [-1.9388114918393946, -30.827183948988477, 1.2695115591714052], [-25.560299267144952, 25.312906164232412, -13.148763293583526], [0.7999596253449234, -0.3473080131596056, -1.1438927917889274], [10.890132306404048, 5.054051147686958, -4.857381540297911]];3;mc_amon00024_001_003;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97240.98370194058
3;-795.650235056724;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.152042, 0.125892, 0.059916], [-0.020815, -0.296667, 0.789672], [1.154273, -0.14362, 0.017038], [-1.306738, -0.384446, -0.887532], [-1.979201, -0.106291, 0.703314], [-1.048213, 1.20015, -0.085661], [2.038169, -0.292683, 0.625728], [1.175895, 0.867083, -0.413109], [1.20585, -0.946705, -0.8077]];[0.0127, 0.5164, -1.2565];[[16.492387340871, 0.9628724648305876, 19.854033496515367], [15.125039615757675, -8.66716132991732, -10.88614439020427], [-13.196845965622954, -25.307226081390628, -20.995592592472846], [5.508358166061656, -4.984614210132929, -9.735366721384144], [-16.829215067568036, 2.778230498529489, 6.709456151247398], [-9.933313458046806, 8.680146070442913, -8.09532284373864], [1.4447794682037496, 0.45912619513232567, 11.216748928017438], [4.876985533938924, -1.4740573899915932, -5.755763127184721], [-3.488176819416268, 27.552684968318204, 17.687951099204422]];3;mc_amon00024_001_004;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97244.06692832614
4;-766.8948844883332;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.206791, 0.076366, 0.058863], [-0.031515, -0.239249, 0.783565], [1.221699, -0.139197, 0.032516], [-1.261245, -0.765071, -0.639872], [-1.975081, 0.031558, 0.897042], [-1.186112, 1.095101, -0.577824], [2.000954, -1.029701, 0.408084], [1.57324, 1.012096, 0.112369], [0.899571, -0.409154, -1.149726]];[0.0585, 0.2702, -1.2049];[[15.051885129203855, 13.930683023255769, 3.5072875114994138], [49.15256604007319, 13.557260858876568, -2.9081786985748836], [-28.270941523141364, -13.79241273106347, -32.486997835222354], [-23.990675372706047, 4.212875940018013, -9.973864980581391], [9.251863602874232, 8.038976184783884, -37.24110977751549], [-1.5884843782799574, -44.160624641656455, 38.676903093782904], [-46.749198478501775, 65.94075881414877, -18.45904546848779], [-4.349412561831462, -66.61073466481672, -7.278338385542033], [31.492397542309323, 18.883217216453644, 66.1633457264627]];3;mc_amon00024_001_005;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97215.31157775775
5;-768.0395816234724;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.214465, 0.0388, 0.08012], [0.008545, -0.23296, 0.718974], [1.168088, -0.139561, 0.06991], [-1.522181, -0.660784, -0.655293], [-2.038341, 0.227449, 0.937909], [-0.930809, 0.966585, -0.451447], [1.921141, -0.790562, 0.630848], [1.776117, 0.898698, 0.063805], [0.996323, -0.344588, -1.187867]];[-0.47, 0.2584, -0.9122];[[7.468061453205151, 69.677195571667, 47.08300236151476], [-41.06149555062905, -26.54891946448989, 53.66440999804297], [72.30892855154148, 21.048669942785683, -84.69372544618862], [-7.397844245398535, -30.720527646057576, -13.164978210656308], [44.1591862407197, -11.240487879668747, -50.7485839395001], [-31.968829609882793, 5.800670170445378, -2.744419182857688], [-22.216411967583806, 4.004323219861208, -31.287919303289133], [-42.7653437158289, -31.01435038646226, 3.543393390907929], [21.473748843856747, -1.0065735280807855, 78.3488203320262]];3;mc_amon00024_001_006;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97216.45627489289
6;-784.3202358638433;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.206007, 0.048957, 0.058666], [-0.024212, -0.228119, 0.802351], [1.201928, -0.140105, 0.002629], [-1.35386, -0.620973, -0.814418], [-1.966881, 0.067535, 0.824907], [-1.132695, 1.094206, -0.356359], [1.845456, -0.98823, 0.545189], [1.712124, 0.942063, -0.027094], [1.067661, -0.381556, -1.080706]];[-0.0361, 0.2739, -1.4527];[[33.47565360719888, 36.15356720214447, -3.933080276844122], [25.531691334251807, 4.616142848648187, -41.818647035976355], [15.81131932007735, -9.446609808516016, 35.34295297464226], [-4.483734069918719, -2.224047702002457, 14.917123681506098], [-17.172861265317316, -9.564395042025247, -4.613738003553585], [-5.021227620951943, -14.646271480710658, 3.7013008797307148], [-17.580182496126213, 52.077233580384, -35.19600840145044], [-24.754310927568785, -51.063718255861495, 14.643992332647624], [-5.8063478816450615, -5.901902527881846, 16.956103849297808]];3;mc_amon00024_001_007;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97232.73692913326
7;-767.1328818890964;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.171514, 0.11161, 0.076788], [-0.013371, -0.243701, 0.841892], [1.132192, -0.213355, -0.03503], [-0.74682, -0.115093, -1.154091], [-2.107131, -0.387465, 0.465252], [-1.224256, 1.285316, 0.056018], [2.041709, -0.257195, 0.602802], [1.226311, 0.793372, -0.454102], [1.215429, -0.842574, -0.812608]];[0.1088, 0.3347, -1.3579];[[57.22642433693934, 32.787776601921394, -67.73581440560669], [1.1254532744215333, -18.034676874227216, -32.566160877049526], [14.045439669796748, 94.39674534090088, 108.79238524140445], [-58.67801990455323, 4.426073521237719, 75.43912733996716], [25.43065819475217, 10.486742072384407, -16.887542047680576], [-11.238979515289882, -45.57040460149373, 4.869550435939337], [-13.119346630732533, -12.0168425511413, -3.1808452055807512], [-4.571080462829644, 7.4364522072279655, -5.918009535238843], [-10.220547776683444, -73.91186571681011, -62.81269094615456]];3;mc_amon00024_001_008;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97215.54957515851
8;-777.3978287043279;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.123389, 0.088361, 0.003959], [0.001923, -0.247272, 0.881592], [1.092303, -0.160185, -0.004864], [-1.228264, -0.599482, -0.908238], [-2.016559, -0.131924, 0.709634], [-1.120426, 1.140324, -0.404027], [2.040429, -0.705012, 0.306446], [1.52624, 0.910473, 0.075267], [0.898596, -0.449157, -1.182026]];[-0.1177, 0.359, -1.5056];[[-39.0570951105512, -25.70394488616853, 37.91423754054117], [-16.622116164021673, -2.054610475085578, -75.07557713585057], [70.14983064023015, 28.067330119310597, -29.23784815119278], [9.398525950655538, 14.004664027083228, 29.788686932351574], [25.012317128901785, 18.718729606610175, -33.41975518860199], [4.004326777324365, -17.66383268481629, 17.621015058250254], [-35.664559502308556, -6.486156560480887, 1.974312602511102], [-22.170191034596908, -24.61250214535563, -18.972408746922362], [4.948963686008599, 15.730322998902917, 69.40733590309256]];3;mc_amon00024_001_009;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97225.81452197375
9;-786.0590100233649;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.103344, 0.107351, 0.070521], [-0.034989, -0.335905, 0.790777], [1.127255, -0.108394, -0.009239], [-1.387916, -0.534951, -0.771095], [-2.011506, 0.320931, 0.793713], [-0.945577, 1.201345, -0.333585], [2.003639, -0.230458, 0.710538], [1.144954, 0.953514, -0.219663], [1.248961, -0.881919, -0.824634]];[0.3542, 0.5626, -1.2502];[[-69.11213168116163, 74.95313755471003, 16.881967502912463], [28.496040004444616, -4.524802610432221, -10.812130183387339], [32.40596593941634, -31.176083334000623, 57.85644157559899], [-2.5929815336977002, -2.223011294402515, -0.027979447735283915], [35.610186049585266, -24.98026912913515, -29.797054085698477], [0.48225800640472166, -40.67038449360873, 6.304521978217318], [-20.784865076505632, -5.017167369667959, -20.676885397280067], [2.160520896574416, 5.120161857188539, -27.390989967053525], [-6.664992605060401, 28.518417633527577, 7.662108024425925]];3;mc_amon00024_001_010;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97234.47570329279
10;-767.2266995755693;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.091679, 0.155981, 0.091248], [-0.03634, -0.289734, 0.794338], [1.120138, -0.169674, -0.025378], [-1.195135, -0.287679, -1.046335], [-2.07899, -0.418989, 0.615938], [-1.094268, 1.261114, 0.041502], [1.926894, -0.096245, 0.790343], [1.055328, 0.880893, -0.497236], [1.396445, -1.158365, -0.722957]];[0.3989, 0.495, -1.1268];[[-112.84817546658911, -60.91519820307076, -37.528262274499504], [43.77650874302522, -25.680166802422487, -15.643782964307736], [44.46941244374452, -5.909816697586669, 34.505060119646814], [14.412374207197367, 24.680858799930768, 54.85662499772394], [52.49241324730824, 55.04580851680815, -28.376315953514442], [-14.660628216194066, -5.402667121467543, 0.6135390693132001], [-12.38423600128926, -5.228586219308816, -36.08461763704306], [11.4897379783496, -42.57155683941864, -4.959550696365905], [-26.747408121373578, 65.98132456653599, 32.61730533904668]];3;mc_amon00024_001_011;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97215.64339284498
11;-796.0842224915542;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.160978, 0.133348, 0.079777], [-0.015438, -0.315789, 0.781834], [1.151468, -0.133728, 0.020508], [-1.239732, -0.463902, -0.866546], [-2.052262, 0.003225, 0.737094], [-1.016586, 1.171188, -0.289117], [2.031725, -0.280219, 0.675104], [1.236699, 0.881816, -0.40567], [1.174327, -0.856212, -0.857054]];[0.0062, 0.6238, -1.2181];[[11.859659598981635, -13.472643040207595, -15.656681139896488], [-2.440831206085121, 12.806942074434142, 0.49883578471958795], [4.741884941420133, -13.325744714036828, -13.059090319767469], [-10.399165630189286, 2.615829933738533, 13.271640442692473], [15.088638466907074, 4.696657726475282, -13.04332957215782], [-7.395463116724984, -1.5938988372059715, 12.721911590038879], [-10.55092938013873, -4.672736158381878, -6.060188293620399], [-4.0076743501557575, -0.06031678783874619, 2.42896588063315], [3.103879490163985, 13.00590861720201, 18.89793444153704]];3;mc_amon00024_001_012;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97244.50091576097
12;-785.1106154220055;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.113075, 0.086427, 0.072963], [-0.002983, -0.265208, 0.805547], [1.103848, -0.125465, 0.018205], [-1.234334, -0.656388, -0.798469], [-2.087052, 0.025614, 0.659372], [-0.987823, 1.023136, -0.5467], [1.925907, -0.778785, 0.485175], [1.468217, 0.990385, -0.02006], [0.830321, -0.513357, -1.077917]];[-0.0559, 0.3619, -1.1231];[[-45.95374734479871, -17.653982069332628, -51.19334272675954], [-18.09175162730825, 4.603405944722581, 22.35502140459714], [47.795684371569806, -2.80130894785452, -33.98840855943348], [-1.5363556848091762, 8.86933670445343, 23.693192002712088], [33.86735164564022, 10.333338331919267, -9.531155292100783], [-5.404295253772716, -2.1523873499748687, 29.009105641794992], [-22.51522345715664, 23.353329759941545, -20.272476542976275], [-12.71793790369173, -42.63408518352042, -4.761951405271646], [24.556276440148235, 18.082352809645613, 44.69001429161645]];3;mc_amon00024_001_013;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97233.52730869142
