;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-794.9185276343884;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.830026, -0.211593, -0.045546], [0.412113, 0.499002, -0.017616], [1.460118, -0.247482, 0.547693], [-1.05435, -0.975366, -0.789316], [-1.76765, 0.38934, -0.072565], [-0.82666, -0.838728, 0.946515], [0.665265, 0.869119, -1.062401], [0.306276, 1.295464, 0.676893], [1.71025, -0.951427, -0.049043]];[-0.7116, -0.4714, -1.4355];[[-88.14785378572256, -72.60658742305122, 54.32744286644815], [50.29992973008297, 20.789485035326432, -41.94449229517988], [12.20092703969947, -1.0342814227950317, 4.455254205699252], [18.308446194811967, -2.2419879887067213, -14.743991436189424], [17.121358685362292, 3.2791640006910656, 6.501521243858979], [-10.429557037945486, 28.022957881344645, -33.889955766544226], [0.6634040303946336, 1.3915206872698738, 25.27696867141336], [-0.4267034759130787, 29.855799660642575, 7.090681018152484], [0.4100486192297957, -7.456070430721608, -7.073429693479761]];3;mc_amon00030_001_001;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97243.33522090381
1;-770.2199988334179;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.909206, -0.215382, -0.069749], [0.387745, 0.510697, 0.079005], [1.565705, -0.241324, 0.469004], [-0.652567, -1.358215, -0.483106], [-1.873263, 0.203223, -0.619745], [-1.291005, -0.364286, 0.987506], [0.837888, 1.119657, -0.790964], [0.172708, 1.262711, 0.708232], [1.446424, -1.248725, 0.060487]];[-1.6517, -0.5691, -0.7134];[[-40.906492137563994, -86.13044370287702, -6.390445385865164], [68.5919724622748, -5.533450139533944, -101.20794731010051], [-42.367468735524746, -89.00947491997985, -18.13207072891653], [-24.859289293710304, 66.01176459295534, 17.285835622816286], [59.96438553834475, -10.236287179514145, 14.257030463490226], [7.872760833666824, -5.1196555115990945, -23.54217769166787], [-35.98072548298568, -23.529024564552813, 4.897953221790388], [-1.1211368857901947, 61.012235125623235, 77.33437058051426], [8.805993701288537, 92.53433511365724, 35.49745004211786]];3;mc_amon00030_001_002;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97218.63669210284
2;-785.498098757219;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.841568, -0.259183, -0.057562], [0.397903, 0.578962, 0.062625], [1.467375, -0.284193, 0.473858], [-0.495304, -1.273087, -0.363959], [-1.733488, 0.165175, -0.701072], [-1.020227, -0.219877, 1.121153], [0.658307, 1.068494, -0.821757], [0.313142, 1.351022, 0.802559], [1.533088, -1.092036, -0.108076]];[-0.9707, -0.2699, -1.2984];[[-34.20941714392643, 14.387986611430303, 52.91292199404272], [26.290128249620096, -30.478733990155252, -8.89325590090473], [6.644341531429973, -12.213218074909312, -3.7229278840874045], [-21.220512014797162, 12.145876483155169, 0.569843935168265], [41.46833770973271, -20.185385101591653, 33.32764298088081], [-24.70977386047653, -27.653815345144153, -59.21461460322862], [13.94759045982325, 20.819805293819478, -45.6250436781328], [0.01151787988356909, 7.853110593004762, 15.450172775234309], [-8.222212811289468, 35.32437353039066, 15.195262752669553]];3;mc_amon00030_001_003;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97233.91479202664
3;-797.3643650366506;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.867722, -0.244569, -0.022767], [0.40956, 0.502977, 0.042931], [1.463365, -0.25734, 0.505673], [-0.710568, -1.150438, -0.629095], [-1.640758, 0.366152, -0.598038], [-1.172952, -0.429951, 0.98407], [0.66511, 0.904544, -0.916393], [0.475842, 1.404524, 0.732437], [1.863887, -0.791006, -0.263505]];[-0.3567, -0.1506, -1.6663];[[-27.879324120531592, 21.2435003417222, -36.14228292900827], [24.31861892807726, 50.79043749355039, 12.880359813261633], [53.74349358985962, -57.283719652736146, -24.99401635259754], [-2.7896001507814874, -1.5147298662735387, 10.722971855908094], [15.521029140588254, -15.148909007724768, 22.151440832113742], [-16.179111206098977, -15.049989001340803, 13.57934203269639], [1.235836612920649, 10.71998477267668, -25.271192537066312], [-23.414665168064445, -20.184304818612766, -14.165355823737439], [-24.55627762596929, 26.4277309245598, 41.23873192260865]];3;mc_amon00030_001_004;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97245.78105830606
4;-796.6812594781236;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.918595, -0.231023, -0.065898], [0.379557, 0.491776, 0.042619], [1.558327, -0.254696, 0.51256], [-0.799337, -1.179566, -0.619865], [-1.753183, 0.370034, -0.482256], [-1.335124, -0.391121, 1.013819], [0.675135, 0.946837, -0.938036], [0.364633, 1.379944, 0.788859], [1.801697, -0.912018, -0.117111]];[-1.0242, -0.3155, -1.5275];[[-38.454789324068955, -12.56583856638441, 55.585430616630724], [63.9630654358168, 49.04140243132148, 8.378717473807068], [-42.01397785139705, 28.21298214755512, 19.08648117471601], [-6.935511590140073, 6.0312874629272715, 7.031425540155784], [17.93245198456975, -1.7510343565235362, -9.696081655733702], [20.674179353638113, -11.097211050992515, -40.328347455027775], [-8.579248114543269, -5.469658896011181, 10.470521226206364], [-7.682708107751093, -33.99419418034895, -27.29666976053246], [1.096538213875775, -18.407736177364335, -23.231477160222013]];3;mc_amon00030_001_005;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97245.09795274754
5;-800.0857926772688;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.855098, -0.259667, -0.033096], [0.406472, 0.565266, 0.014218], [1.499676, -0.276548, 0.51348], [-0.689212, -1.229625, -0.598073], [-1.735661, 0.303412, -0.490447], [-1.18063, -0.486959, 0.997347], [0.668511, 1.107483, -0.964828], [0.317149, 1.341343, 0.745778], [1.423292, -1.000556, -0.124644]];[-1.3876, -0.2308, -1.2848];[[-33.32306926908106, -2.5975327148974467, -14.654738243025974], [32.85648307370705, -0.9274934937272945, -8.846724282802057], [-29.444842702486515, 17.295395712142074, -29.75171184611153], [-8.241095825730522, 23.31281499785959, 11.650662195930114], [26.36748528598421, -15.732541670092266, 5.491843236262577], [6.365341554182352, -5.251786808202261, -7.3993300791774], [-6.046767170947462, -24.439184911954758, 23.0526660178846], [-3.43819446205063, 14.841258408026112, 12.70103046712425], [14.904660702243634, -6.5009307049748015, 7.756302533915416]];3;mc_amon00030_001_006;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97248.50248594668
6;-784.14694159246;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.944304, -0.234427, -0.045475], [0.442549, 0.457219, -0.011421], [1.532254, -0.200817, 0.540671], [-1.205449, -0.881369, -0.956921], [-1.897098, 0.519234, -0.085422], [-1.019843, -0.917485, 0.851534], [0.838187, 0.930891, -0.881347], [0.366278, 1.330287, 0.573029], [1.790051, -1.132843, 0.125152]];[-0.6815, -0.7756, -1.1352];[[-49.80157894617389, -2.9245311708897623, -20.803528714051964], [-9.217296919191945, -2.945275924383344, -13.974406617105966], [35.99338886600603, -91.83354926040151, 5.256083037875706], [23.142260727511193, 15.156269398998043, 23.747872583087993], [58.64377339255515, -32.737025832513694, 13.263477250566611], [-2.459267165989358, 20.64803911435536, -16.765102466540025], [-13.79629036590536, -2.0908479806309277, -46.01109839418498], [-10.785635383609867, 23.68269985803899, 35.58432566407092], [-31.719355391023004, 73.04422179742686, 19.702378842102764]];3;mc_amon00030_001_007;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97232.56363486187
7;-784.2291227432271;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.803069, -0.250261, -0.034308], [0.448878, 0.550953, -0.002494], [1.420051, -0.235411, 0.503604], [-0.832958, -0.982271, -0.866457], [-1.780996, 0.3251, -0.091317], [-0.685162, -0.806577, 0.937824], [0.645128, 0.960876, -0.984546], [0.332225, 1.27399, 0.700766], [1.267259, -1.303285, 0.290631]];[-1.1911, -0.7988, -0.7319];[[-46.37594707235414, -17.378760117958482, 11.988557161574454], [-33.072224241084506, -30.813571909126075, -53.75827484927985], [60.779063574594126, -129.90742914596538, 3.8782597695840173], [4.4613635557620706, 4.637316869362798, 6.788491124400893], [26.16033776377469, -12.531225635681075, 6.223839899621812], [-25.224888596605737, 5.8168957599076325, -17.64255194020695], [11.323515512306228, 9.873996317355374, -11.746896317630018], [-8.9363201782497, 67.65708893174792, 43.15699432142814], [10.88509968185696, 102.64568774453623, 11.111580830507505]];3;mc_amon00030_001_008;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97232.64581601265
8;-800.0187169345648;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.861404, -0.253961, -0.036451], [0.426058, 0.566501, 0.034575], [1.487399, -0.264033, 0.504934], [-0.656547, -1.163487, -0.594403], [-1.734825, 0.235351, -0.45876], [-1.144912, -0.645151, 0.950121], [0.705902, 0.94849, -0.98164], [0.359466, 1.447118, 0.728147], [1.327993, -1.069624, -0.117774]];[-1.4264, -0.4144, -1.2627];[[1.2855414881599865, -5.211574430488712, 18.34728539174665], [5.761201302531787, 18.27446530672965, -0.5511636961272001], [-23.387451760729117, -44.553439723529316, -43.756694859057895], [-1.4083486738268312, -4.611250150985302, -14.550567421021249], [0.06839697249092777, 6.759496613844612, -5.312301628156786], [2.281638287241355, 8.41976348372057, 2.5994905054552326], [-8.870107488137597, -0.346419833191234, 12.877797253967037], [-0.8284110298591285, -17.813865136028987, -12.555942889700752], [25.09753971630757, 39.08282505574977, 42.902099714537066]];3;mc_amon00030_001_009;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97248.43541020398
9;-804.3603859601027;['C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H'];[[-0.865282, -0.248695, -0.032592], [0.437668, 0.530951, 0.019979], [1.481487, -0.244131, 0.513644], [-0.801684, -1.059451, -0.735989], [-1.728383, 0.368594, -0.310774], [-1.133142, -0.75264, 0.921869], [0.67611, 0.90981, -1.005811], [0.355291, 1.399049, 0.693614], [1.473065, -1.065773, -0.030237]];[-1.1079, -0.5937, -1.2379];[[-17.90457095998183, -1.2762802257394494, 20.489567174711553], [-11.364433453546054, 15.798872942309625, -8.854636080864775], [13.029002482200724, -30.86340603886015, -8.476501463622675], [2.4224604663387757, -10.52652043959272, -17.706178354603402], [3.475732813290645, 1.5405855085036773, -2.3764672109939684], [9.225573950138854, 12.715879318344475, -4.074260573899418], [-4.1796053587461826, -0.35729736970641773, 11.159554407010095], [-0.32862303083433037, -3.958940662358471, -4.90644962963202], [5.624463091139401, 16.927106967099423, 14.745369360252505]];3;mc_amon00030_001_010;[6, 6, 8, 1, 1, 1, 1, 1, 1];9;CCO;-97252.77707922952
